angabenId,datum,quelle,bildnummer
48249,1652/01/01,026 (1652),2
48250,1652/01/01,026 (1652),2
48251,1652/01/02,026 (1652),2
48252,1652/01/03,026 (1652),2
48253,1652/01/03,026 (1652),2
48254,1652/01/03,026 (1652),2
48255,1652/01/03,026 (1652),2
48256,1652/01/03,026 (1652),3
48257,1652/01/03,026 (1652),3
48258,1652/01/03,026 (1652),3
48421,1652/01/04,026 (1652),4
48422,1652/01/04,026 (1652),4
48423,1652/01/04,026 (1652),4
48424,1652/01/05,026 (1652),5
48430,1652/01/05,026 (1652),5
48434,1652/01/05,026 (1652),5
48435,1652/01/05,026 (1652),5
48436,1652/01/05,026 (1652),5
48437,1652/01/06,026 (1652),5
48438,1652/01/06,026 (1652),5
48439,1652/01/06,026 (1652),5
48440,1652/01/06,026 (1652),5
48460,1652/01/07,026 (1652),6
48791,1652/01/08,026 (1652),7
48792,1652/01/08,026 (1652),7
48793,1652/01/09,026 (1652),7
48794,1652/01/09,026 (1652),7
48795,1652/01/09,026 (1652),7
48796,1652/01/09,026 (1652),7
48797,1652/01/10,026 (1652),8
48798,1652/01/10,026 (1652),8
48799,1652/01/10,026 (1652),8
48800,1652/01/10,026 (1652),8
48801,1652/01/10,026 (1652),8
48802,1652/01/10,026 (1652),8
48803,1652/01/10,026 (1652),8
48804,1652/01/11,026 (1652),9
48805,1652/01/11,026 (1652),9
48806,1652/01/12,026 (1652),9
48807,1652/01/12,026 (1652),9
48808,1652/01/12,026 (1652),9
48809,1652/01/12,026 (1652),9
48810,1652/01/13,026 (1652),10
48811,1652/01/13,026 (1652),10
48812,1652/01/13,026 (1652),10
48813,1652/01/13,026 (1652),10
48814,1652/01/13,026 (1652),10
48815,1652/01/13,026 (1652),10
48816,1652/01/13,026 (1652),10
48817,1652/01/14,026 (1652),11
48818,1652/01/15,026 (1652),11
48819,1652/01/16,026 (1652),11
48820,1652/01/17,026 (1652),11
48821,1652/01/18,026 (1652),11-12
48822,1652/01/19,026 (1652),12
48823,1652/01/20,026 (1652),12
48824,1652/01/20,026 (1652),12
48825,1652/01/20,026 (1652),12
48826,1652/01/20,026 (1652),12
48827,1652/01/21,026 (1652),13
48828,1652/01/21,026 (1652),13
48829,1652/01/21,026 (1652),13
48830,1652/01/22,026 (1652),13-14
48831,1652/01/22,026 (1652),14
48832,1652/01/22,026 (1652),14
48833,1652/01/23,026 (1652),15
48834,1652/01/24,026 (1652),15
48835,1652/01/24,026 (1652),15
48836,1652/01/24,026 (1652),15
48837,1652/01/25,026 (1652),16
48838,1652/01/25,026 (1652),16
48839,1652/01/25,026 (1652),16
48840,1652/01/25,026 (1652),16
48841,1652/01/25,026 (1652),16
48842,1652/01/26,026 (1652),17
48843,1652/01/26,026 (1652),17
48844,1652/01/27,026 (1652),17
48845,1652/01/27,026 (1652),17
48846,1652/01/27,026 (1652),17
48847,1652/01/27,026 (1652),17
48848,1652/01/27,026 (1652),17
48849,1652/01/27,026 (1652),17
48850,1652/01/27,026 (1652),18
48851,1652/01/27,026 (1652),18
48852,1652/01/27,026 (1652),18
48853,1652/01/27,026 (1652),18
48854,1652/01/27,026 (1652),18
48855,1652/01/27,026 (1652),18
48856,1652/01/27,026 (1652),18
48857,1652/01/27,026 (1652),18
48858,1652/01/28,026 (1652),19
48859,1652/01/29,026 (1652),19
48860,1652/01/29,026 (1652),19
48861,1652/01/29,026 (1652),19
48862,1652/01/30,026 (1652),19
48863,1652/01/30,026 (1652),19
48864,1652/01/30,026 (1652),19
48865,1652/01/30,026 (1652),20-21
48866,1652/01/31,026 (1652),21
48867,1652/02/01,026 (1652),22
48868,1652/02/01,026 (1652),22
48869,1652/02/01,026 (1652),22-24
48870,1652/02/01,026 (1652),24
48871,1652/02/01,026 (1652),24
48872,1652/02/01,026 (1652),24
48873,1652/02/01,026 (1652),24
48874,1652/02/02,026 (1652),24-25
48875,1652/02/02,026 (1652),25
48876,1652/02/02,026 (1652),25
48877,1652/02/03,026 (1652),25
48878,1652/02/04,026 (1652),25
48879,1652/02/05,026 (1652),25
48880,1652/02/06,026 (1652),26
48881,1652/02/06,026 (1652),26
48882,1652/02/07,026 (1652),26
48883,1652/02/08,026 (1652),26
48884,1652/02/09,026 (1652),26
48885,1652/02/10,026 (1652),26
48886,1652/02/10,026 (1652),27
48887,1652/02/10,026 (1652),27
48888,1652/02/10,026 (1652),27
48889,1652/02/11,026 (1652),27
48890,1652/02/11,026 (1652),27
48891,1652/02/11,026 (1652),27-28
48892,1652/02/11,026 (1652),28
48893,1652/02/12,026 (1652),29
48894,1652/02/12,026 (1652),29-30
48895,1652/02/13,026 (1652),30
48896,1652/02/13,026 (1652),30
48897,1652/02/14,026 (1652),30
48898,1652/02/14,026 (1652),30
48899,1652/02/14,026 (1652),30
48900,1652/02/14,026 (1652),30-31
48901,1652/02/14,026 (1652),31
48902,1652/02/14,026 (1652),31
48903,1652/02/14,026 (1652),31
48904,1652/02/15,026 (1652),32
48905,1652/02/16,026 (1652),32
48906,1652/02/16,026 (1652),32
48907,1652/02/16,026 (1652),32
48908,1652/02/16,026 (1652),33
48909,1652/02/16,026 (1652),33
48910,1652/02/16,026 (1652),33
48911,1652/02/16,026 (1652),33
48912,1652/02/16,026 (1652),33
48913,1652/02/17,026 (1652),34
48914,1652/02/17,026 (1652),34
48915,1652/02/17,026 (1652),34
48916,1652/02/17,026 (1652),34
48917,1652/02/17,026 (1652),34
48918,1652/02/17,026 (1652),35
48919,1652/02/17,026 (1652),35
48920,1652/02/17,026 (1652),35
48921,1652/02/17,026 (1652),35
48922,1652/02/17,026 (1652),35
48923,1652/02/17,026 (1652),35
48924,1652/02/18,026 (1652),36-37
48925,1652/02/18,026 (1652),37
48926,1652/02/18,026 (1652),37-38
48927,1652/02/18,026 (1652),38
48928,1652/02/19,026 (1652),39
48929,1652/02/19,026 (1652),39
48930,1652/02/20,026 (1652),39
48931,1652/02/20,026 (1652),39
48932,1652/02/20,026 (1652),39
48933,1652/02/20,026 (1652),39
48934,1652/02/21,026 (1652),40
48935,1652/02/21,026 (1652),40
48936,1652/02/21,026 (1652),40
48937,1652/02/21,026 (1652),40
48938,1652/02/21,026 (1652),40
48939,1652/02/21,026 (1652),40
48940,1652/02/22,026 (1652),41
48941,1652/02/22,026 (1652),41
48942,1652/02/22,026 (1652),41
48943,1652/02/22,026 (1652),41-42
48944,1652/02/23,026 (1652),43
48945,1652/02/23,026 (1652),43
48946,1652/02/23,026 (1652),43
48947,1652/02/23,026 (1652),44
48948,1652/02/23,026 (1652),44
48949,1652/02/23,026 (1652),44
48950,1652/02/23,026 (1652),44
48951,1652/02/23,026 (1652),45
48952,1652/02/23,026 (1652),45
48953,1652/02/23,026 (1652),45
48954,1652/02/23,026 (1652),45
48955,1652/02/23,026 (1652),45
48956,1652/02/23,026 (1652),45
48957,1652/02/23,026 (1652),45
48958,1652/02/24,026 (1652),46
48959,1652/02/24,026 (1652),46
48960,1652/02/24,026 (1652),46
48961,1652/02/25,026 (1652),46
48962,1652/02/25,026 (1652),46
48963,1652/02/25,026 (1652),46
48964,1652/02/25,026 (1652),46
48965,1652/02/25,026 (1652),46-47
48966,1652/02/25,026 (1652),47
48967,1652/02/26,026 (1652),47
48968,1652/02/26,026 (1652),47
48969,1652/02/26,026 (1652),47
48970,1652/02/26,026 (1652),47
48971,1652/02/26,026 (1652),47
48972,1652/02/27,026 (1652),48
48973,1652/02/27,026 (1652),48
48974,1652/02/27,026 (1652),48
48975,1652/02/27,026 (1652),48
48976,1652/02/27,026 (1652),48
48977,1652/02/27,026 (1652),48
48978,1652/02/28,026 (1652),49
48979,1652/02/28,026 (1652),49
48980,1652/02/28,026 (1652),49
48981,1652/02/28,026 (1652),49
48982,1652/02/28,026 (1652),50
