angaben_bermerkungenId,angabenId,bemerkungen
1,56583,"In Hs. 97 wurde der Eintrag zum 5.1.1713 vergessen. Die Datumsangaben zu den Fahrten am 4.1. und 5.1. dieses Jahres folgen daher Hs. 98 (Konzept, ohne Abb.)."
2,56584,"In Hs. 97 wurde der Eintrag zum 5.1.1713 vergessen. Die Datumsangaben zu den Fahrten am 4.1. und 5.1. dieses Jahres folgen daher Hs. 98 (Konzept, ohne Abb.)."
3,56585,"In Hs. 97 wurde der Eintrag zum 5.1.1713 vergessen. Die Datumsangaben zu den Fahrten am 4.1. und 5.1. dieses Jahres folgen daher Hs. 98 (Konzept, ohne Abb.)."
4,57464,"In Hs. 97 wurde der Eintrag zum 5.1.1713 vergessen (siehe Bilder). Die Datumsangaben zu den Fahrten am 4.1. und 5.1. dieses Jahres folgen daher Hs. 98 (Konzept, ohne Abb.)."
7,38621,"Starker Sturm, schweres Gestöber und Eisrinnen."
8,48420,"Verzeichnung von Sonderzahlungen: Gebühr des Aschacher Brauhauses für 521 Eimer Bier nach Linz für das Jahr 1736, Gebühr des Klosters St. Nikola in Passau für 8 Metzen Weizen."
10,73848,"Da eine Seite in der Hs.103 fehlt, die den Beginn der Eintragungen für den 18. September 1717 angibt, wurde das korrekte Datum (18. September) für die Einträge auf Seite 874 aus Hs.103 aus dem Konzept Hs.102 erschlossen."
11,73849,"Da eine Seite in der Hs.103 fehlt, die den Beginn der Eintragungen für den 18. September 1717 angibt, wurde das korrekte Datum (18. September) für die Einträge auf Seite 874 aus Hs.103 aus dem Konzept Hs.102 erschlossen."
12,73850,"Da eine Seite in der Hs.103 fehlt, die den Beginn der Eintragungen für den 18. September 1717 angibt, wurde das korrekte Datum (18. September) für die Einträge auf Seite 874 aus Hs.103 aus dem Konzept Hs.102 erschlossen."
13,73851,"Da eine Seite in der Hs.103 fehlt, die den Beginn der Eintragungen für den 18. September 1717 angibt, wurde das korrekte Datum (18. September) für die Einträge auf Seite 874 aus Hs.103 aus dem Konzept Hs.102 erschlossen."
14,77371,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
15,77372,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
16,77373,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
17,77374,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
18,77375,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
19,77376,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
20,77377,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
21,77378,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
22,77379,"Die Seite fehlt in Hs. 103. Bild aus Hs. 102 (Konzept, 1717) zu Hs. 103 eingefügt."
23,77380,"Der Beginn dieses Eintrags fehlt in Hs. 103., daher wurde das fehlende Bild aus Hs. 102 (Konzept, 1717) eingefügt. Eine Folge davon ist die Scanreihung 875-874.
"
24,78786,Das Eisrinnen hatte schon am 28. 11. eingesetzt.
25,10767,"Der Datensatz zu einer Lieferung vom 20. Dezember 1729 im Umfang von 70 Metzen Braugerste an das herrschaftliche Brauhaus am Altenhof ist in Hs 121 (1730), pag. 24, enthalten."
29,83027,"""Ist disen tach weegen sehr grossen wasser und sturmb wind nichts einkommen."""
30,42480,Keine Fahrten wegen starken Windes und groben Schnees.
31,78750,"Die Fahrt, die eigentlich am 20. September stattfand, wurde in der Quelle erst unter dem 31. Dezember nachgetragen. Aus Gründen der Kompatibilität zwischen Datenbank und Phaidra-Bildspeicherung wurde in der Datenbank das Datum 31.12.1739 beibehalten."
32,84824,Unter dem Datum 31. Dezember wurden die Gebühren für den Transport von Bier vom herrschaftlichen Brauhaus in Neuhaus nach Linz verzeichnet. Die einzelnen Transporte sind nicht rekonstruierbar.
33,58056,An diesem Tag löste sich zwischen 11 Uhr vormittags und 3 Uhr in der Nacht der Eisstoss.
34,84838,Mehrere undatierte Fahrten im Jahr 1738.
35,64872,Die Vereisung der Donau dauerte bis zum 17. März.
36,56698,Quelle: Datum falsch mit 15. Februar angegeben.
37,56700,Quelle: Datum falsch mit 15. Februar angegeben.
38,56701,Quelle: Datum falsch mit 15. Februar angegeben.
39,56702,Quelle: Datum falsch mit 16. Februar angegeben.
40,56705,Quelle: Datum falsch mit 16. Februar angegeben.
41,56706,Quelle: Datum falsch mit 16. Februar angegeben.
42,56708,Quelle: Datum falsch mit 16. Februar angegeben.
43,51765,Das Eis brach am frühen Morgen dieses Tages.
44,51766,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
45,51768,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
46,51770,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
47,51771,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
48,51772,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
49,51773,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
50,51775,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
51,51776,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
52,51778,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
53,51779,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
54,51781,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
55,51782,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
56,51783,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
57,51784,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
58,51786,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
59,51787,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
60,51788,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
61,51789,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
62,51790,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
63,51791,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
64,51792,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
65,51793,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
66,51794,Pauschaler Vermerk geringer eingenommener Mautgebühren ohne Nennung von Fahrzeugen.
67,84881,Dieses Datum scheint in Hs 96 nicht auf und wurde hier lediglich für die Generierung des Inhaltsverzeichnisses in Phaidra angelegt.
68,84882,Dieses Datum scheint in der Quelle nicht auf und wurde hier lediglich für die Erstellung des Inhaltsverzeichnisses in Phaidra angelegt.
69,73847,"Da eine Seite in der Hs.103 fehlt, die den Beginn der Eintragungen für den 18. September 1717 angibt, wurde das korrekte Datum (18. September) für die Einträge auf Seite 874 aus Hs.103 aus dem Konzept Hs.102 erschlossen."
