angaben_nichts,angabenId,nichts
1,20324,1
2,20370,1
3,20385,1
4,20403,1
5,20404,1
6,20406,1
7,20407,1
8,20408,1
95,51718,1
10,27855,1
89,46212,1
90,48404,1
91,48405,1
92,48406,1
93,48420,1
17,29012,1
18,29013,1
19,29014,1
20,29015,1
21,29016,1
22,29032,1
23,29043,1
24,29044,1
25,29047,1
26,29048,1
27,29049,1
28,29050,1
29,29051,1
30,29052,1
31,29053,1
32,29060,1
33,29061,1
34,29062,1
35,29063,1
36,29064,1
37,29065,1
38,29066,1
39,29196,1
40,29197,1
41,29198,1
42,29200,1
43,29202,1
44,29962,1
45,30113,1
53,30359,1
54,26374,1
55,31038,1
56,31039,1
57,31040,1
58,31041,1
59,31042,1
60,31043,1
71,35128,1
72,35129,1
73,38094,1
74,38538,1
75,38539,1
76,38549,1
77,38554,1
78,38556,1
79,38620,1
86,39761,1
87,42480,1
94,50755,1
96,51767,1
97,51769,1
98,51774,1
99,51777,1
100,51785,1
101,51828,1
102,55414,1
103,55455,1
104,55456,1
105,55457,1
106,55465,1
107,55469,1
108,55470,1
109,55471,1
110,55474,1
111,55481,1
112,55482,1
113,55483,1
114,55484,1
115,55485,1
116,55491,1
117,55492,1
118,55493,1
119,55496,1
120,55506,1
121,55514,1
122,55515,1
123,55538,1
124,55732,1
125,55733,1
126,55735,1
127,55778,1
128,55780,1
129,55781,1
130,55784,1
131,55785,1
132,55786,1
133,55787,1
134,55788,1
135,55803,1
136,55806,1
140,55815,1
141,55816,1
142,55817,1
143,55820,1
144,55822,1
145,55834,1
146,55943,1
147,56026,1
148,56028,1
162,56425,1
163,56428,1
151,56208,1
164,56431,1
165,56432,1
166,56433,1
167,56435,1
156,56214,1
168,56438,1
169,56439,1
171,56452,1
170,56451,1
161,56224,1
172,56453,1
173,56454,1
174,56455,1
175,56456,1
176,56457,1
177,56459,1
178,56498,1
179,56499,1
180,56500,1
181,56501,1
182,56502,1
183,56503,1
184,56504,1
185,56505,1
186,56506,1
187,56507,1
189,56510,1
190,56511,1
191,56512,1
192,56513,1
193,56514,1
194,56606,1
195,56611,1
196,56615,1
197,56626,1
198,56646,1
199,57464,1
201,58002,1
202,58017,1
203,58019,1
204,58023,1
205,58031,1
206,58051,1
207,58052,1
208,58053,1
209,58055,1
210,60165,1
211,60333,1
212,60334,1
213,60714,1
214,60715,1
215,60721,1
216,60722,1
217,60723,1
218,60724,1
219,60763,1
220,64476,1
221,64526,1
222,64537,1
223,64667,1
224,64669,1
225,64679,1
226,64680,1
227,64871,1
228,64913,1
235,78083,1
236,79113,1
237,79213,1
238,79357,1
239,83038,1
240,84462,1
241,84463,1
