angaben_passagiereId,personenId,angabenId,zielort,judenleibmaut,judenleibmaut_fl,judenleibmaut_s,judenleibmaut_d,bemerkungen,passagiereOrder
3974,15,11,3,,,,,,
16,16,12,,,,,,,
17,17,13,,,,,,,
3977,30,21,10,,,,,,
9711,3631,45826,27,,,,,,
39,40,25,,,,,,,
40,41,27,,,,,,,
3981,89,31,3,,,,,,
3984,100,39,3,,,,,,
45,101,40,,,,,,,
46,102,41,,,,,,,
9710,16,45825,3,,,,,,
17335,10401,20414,,,,,,,
9709,23006,45822,27,,,,,,
51,113,59,,,,,,,
9708,20448,45817,216,,,,,,
9707,284,45810,27,,,,,,
9706,16,45805,,,,,,,
9705,22988,45804,27,,,,,,
9704,284,45793,,,,,,,
89,262,82,27,,,,,,
90,264,83,10,,,,,Auf die Werbung,
93,16,62,,,,,,,
94,16,49,,,,,,,
95,16,57,,,,,,,
96,16,64,,,,,,,
97,16,42,,,,,,,
98,16,66,3,,,,,,
9703,788,45792,27,,,,,,
100,16,85,,,,,,,
101,273,86,,,,,,,
102,281,90,10,,,,,,
103,284,93,,,,,,,
144,408,143,3,,,,,,
105,322,102,27,,,,,,
143,16,99,,,,,,,
142,16,107,65,,,,,,
109,376,134,3,,,,,,
141,16,116,,,,,,,
111,407,142,,,,,,,
145,113,191,,,,,,,
113,411,144,27,,,,,,
114,412,145,10,,,,,,
115,414,147,3,,,,,,
116,415,149,3,,,,,,
140,16,140,,,,,,,
139,16,153,,,,,,,
138,16,161,,,,,,,
137,16,162,,,,,,,
136,16,168,3,,,,,,
135,16,170,,,,,,,
123,16,178,,,,,,,
5708,6793,247,27,,,,,,
134,16,172,,,,,,,
133,16,195,3,,,,,,
127,525,202,,,,,,,
128,535,207,11,,,,,,
129,16,227,,,,,,,
130,554,231,,,,,,,
131,16,234,,,,,,,
132,16,198,27,,,,,,
147,15,245,,,,,,,
148,604,247,27,,,,,,
149,16,252,,,,,,,
9726,23026,45905,775,,,,,,
152,17,266,,,,,,,
5734,3631,297,,,,,,,
154,16,273,,,,,,,
155,645,274,,,,,,,
156,17,289,,,,,,,
157,16,291,,,,,,,
158,16,294,,,,,,,
159,16,295,,,,,,,
161,672,300,27,,,,,,
162,16,301,,,,,,,
163,17,305,,,,,,,
165,16,320,,,,,,,
166,16,325,,,,,,,
167,16,327,,,,,,,
169,15,344,,,,,,,
170,788,348,,,,,,,
172,803,356,27,,,,,,
173,16,357,,,,,,,
174,16,376,,,,,,,
175,909,380,,,,,,,
176,16,383,,,,,,,
177,414,387,,,,,,,
11240,102,384,,,,,,,
179,15,389,3,,,,,,
180,16,401,,,,,,,
181,412,402,,,,,,,
182,943,403,,,,,,,
183,17,404,27,,,,,,
5738,5557,419,,,,,,,
185,15,438,,,,,,,
186,264,443,27,,,,,,
187,17,447,,,,,,,
188,1026,452,27,,,,,,
189,16,453,,,,,,,
3912,5423,454,,,,,,,
192,17,464,,,,,,,
193,1036,465,3,,,,,,
194,16,473,3,,,,,,
196,113,482,,,,,,,
197,1079,484,,,,,,,
198,16,488,3,,,,,,
200,16,496,,,,,,,
201,16,497,,,,,,,
202,113,506,,,,,,,
13614,414,509,,,,,,,
204,17,517,,,,,,,
205,113,519,3,,,,,,
207,16,522,,,,,,,
208,113,524,3,,,,,,
209,909,525,,,,,,,
