angaben_scansId,angabenId,scanId
1,1,3714
2,1,3715
3,2,3715
4,3,3715
5,4,3715
6,5,3716
7,6,3716
8,7,3716
9,8,3716
10,9,3717
11,10,3717
12,11,3717
13,12,3717
14,13,3717
15,14,3717
16,15,3717
17,16,3718
18,15,3718
19,16,3719
20,17,3719
21,18,3720
22,19,3720
23,20,3720
24,21,3720
25,22,3721
26,23,3721
27,23,3722
28,23,3723
29,23,3724
30,23,3725
31,23,3726
32,23,3727
33,24,2
34,25,2
35,26,2
36,27,3
37,28,3
38,29,3
39,30,3
41,31,3727
42,32,3727
43,33,3727
44,34,3728
45,35,3728
46,36,3729
47,37,3729
48,38,3729
49,39,3729
50,40,3729
51,41,3729
52,42,3730
53,43,3730
54,44,3730
55,45,3730
56,46,3730
57,47,3730
58,48,3730
59,49,3731
60,50,3731
61,50,3732
62,51,3732
63,52,3732
64,53,3732
65,54,3732
66,55,3732
67,56,3732
68,57,3733
69,58,3733
70,59,3733
71,60,3733
72,61,3733
73,62,3734
74,63,3734
75,64,3734
76,65,3734
77,66,3734
78,67,3734
79,68,3734
80,69,3
81,70,4
82,70,5
83,70,6
84,70,7
85,71,3735
86,72,3735
87,73,3735
88,73,3736
89,74,7
90,74,8
91,75,3736
92,76,3736
93,77,3736
94,78,3737
95,78,3738
96,78,3739
97,78,3740
98,78,3741
99,78,3742
100,79,3743
101,80,3743
102,81,3743
103,82,3743
104,83,3743
105,84,3743
106,85,8
107,86,8
108,87,8
109,88,8
110,89,3744
111,90,3744
112,91,3744
113,92,3744
114,93,3744
115,94,3744
116,95,3745
117,96,3745
118,97,3745
119,98,3745
120,99,3745
121,100,3746
122,100,3747
123,100,3748
124,100,3749
125,101,3749
126,101,3750
127,102,3750
128,103,3750
129,104,3751
130,105,3751
131,106,3751
132,107,3751
133,108,3751
134,109,3751
135,110,3751
136,111,3752
137,112,3752
138,113,3752
139,114,3753
140,115,3753
141,116,3753
142,117,3753
143,118,3753
144,119,3754
145,120,3754
146,121,3754
147,122,3754
148,123,3754
149,124,3754
150,125,3755
151,126,3755
152,126,3756
153,127,3756
154,128,3756
155,129,3757
156,130,3757
157,131,3757
158,132,3757
159,133,3758
160,133,3759
161,134,3759
162,135,3759
163,136,3759
164,137,3759
165,138,3760
166,139,3760
167,139,3761
168,139,3762
169,139,3763
170,139,3764
171,139,3765
172,140,3765
173,141,3765
174,142,3765
175,143,3765
176,144,3765
177,145,3765
178,146,3766
179,147,3766
180,148,3766
181,149,3766
182,150,3766
183,151,3766
184,151,3767
185,152,3768
186,153,3768
187,154,3768
188,155,3768
189,156,3768
190,157,3768
191,158,3768
192,159,9
193,160,9
194,160,10
195,161,3769
196,162,3769
197,163,3769
198,164,3769
199,165,3769
200,166,3769
201,167,3770
202,167,3771
203,168,3771
204,169,3771
205,170,3771
206,171,3772
207,172,3772
208,173,3772
209,174,3772
210,175,3772
211,176,3772
212,177,3773
213,178,10
214,179,3773
215,179,3774
216,179,3775
217,179,3776
218,179,3777
219,179,3778
220,179,3779
221,180,3780
222,181,3780
223,182,3780
224,183,3780
225,184,3780
226,184,3781
227,185,3781
