fahrzeugId,anzahlPferde
21,1
61,2
83,2
89,1
90,2
95,1
110,1
145,1
207,2
216,1
237,1
256,2
269,2
278,1
283,3
302,11
307,4
343,2
354,4
365,1
372,14
408,2
412,2
418,5
467,3
499,2
516,15
557,4
559,4
580,6
601,4
632,6
634,1
637,1
650,1
655,4
661,2
675,1
677,1
678,2
691,1
702,1
717,3
724,1
725,2
732,1
734,2
740,6
746,2
751,1
752,3
757,6
769,1
784,3
792,3
794,65
796,5
797,1
798,13
799,11
805,6
808,21
811,1
812,1
816,12
819,1
823,2
826,2
833,2
859,7
866,2
867,1
892,1
902,1
905,1
908,2
918,2
921,6
923,2
937,1
940,2
979,1
997,7
1005,1
1013,1
1014,1
1026,1
1038,7
1048,1
1050,1
1062,1
1066,2
1067,2
1070,25
1071,4
1073,1
1075,2
1091,1
1092,1
1106,1
1121,1
1129,16
1145,1
1152,1
1179,1
1188,2
1194,1
1198,1
1200,2
1201,1
1231,1
1236,2
1246,1
1247,1
1296,1
1300,2
1313,2
1319,2
1324,1
1327,1
1333,1
1335,2
1343,3
1344,1
1363,5
1375,1
1382,1
1391,2
1407,1
1409,1
1410,1
1415,6
1424,1
1434,1
1440,2
1443,2
1456,5
1458,12
1476,1
1481,1
1485,1
1509,1
1510,1
1517,1
1520,1
1521,1
1523,1
1531,1
1535,4
1548,2
1550,1
1551,3
1558,2
1559,1
1561,2
1607,4
1614,1
1615,1
1624,1
1629,6
1632,3
1640,1
1647,1
1648,1
1651,1
1655,2
1657,2
1702,2
1704,2
1705,1
1717,2
1718,1
1719,2
1722,1
1728,1
1742,1
1765,1
1766,1
1769,1
1789,6
1790,1
1809,1
1849,2
1859,2
1870,1
1871,2
1875,1
1885,2
1929,1
1934,2
1937,1
1960,1
1972,2
1992,1
1995,1
1996,1
1998,4
2001,1
2006,1
2007,1
2009,5
2016,1
2037,1
2052,3
2060,1
2063,12
2069,2
2072,3
2076,1
2077,1
2082,1
2088,13
2102,2
2104,1
2107,4
2109,1
2115,2
2119,1
2156,1
2159,1
2163,2
2171,7
2179,1
2180,1
2183,2
2184,1
2188,3
2194,2
2203,1
2216,2
2222,2
2230,1
2231,2
2257,1
2268,5
2281,1
2304,1
2309,1
2313,2
2314,1
2327,1
2344,1
2354,1
2374,1
2404,1
2421,1
2440,2
2454,2
2494,1
2499,2
2515,1
2525,1
2537,1
2551,3
2555,3
2556,3
2557,3
2559,2
2566,1
2579,7
2581,2
2586,1
2590,1
2591,1
2592,16
2607,1
2608,1
2628,1
2661,1
2673,5
2674,2
2683,1
2709,1
2710,1
2713,1
35365,1
2722,11
2725,1
2731,2
2732,2
2742,2
2745,4
2747,2
2750,2
2770,3
2777,1
2782,3
2793,1
2806,1
2823,1
2824,2
2827,4
2835,20
2842,5
2855,5
2858,1
35362,1
2866,6
2889,1
2890,2
2891,9
2894,2
2908,2
2916,4
2917,2
2931,10
2932,1
2935,1
2953,1
2958,1
2967,1
2970,40
2984,1
2987,1
3005,1
3033,1
3048,30
3053,5
3055,1
3102,1
3120,1
3124,1
3132,1
3143,1
3148,2
3150,2
3176,1
3177,1
3178,2
3193,1
3215,1
3226,1
3227,1
3242,2
3243,1
3255,1
3262,1
3265,2
3267,2
3284,1
3285,3
3292,1
3294,1
3299,1
3301,1
3304,2
3306,2
3323,2
3320,1
3326,1
3329,2
3333,1
3340,2
3351,12
