fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
1,168,2,4,,,6,2
2,169,225,6,,,6,2
3,170,4,6,,,6,2
4,169,225,6,,,6,2
5,171,5,6,,,6,2
6,172,11,122,,,16,2
7,1495,26,6,,,6,2
8,174,27,1,,,16,2
9,2581,59,2,,,18,2
10,176,4,6,,,6,2
11,177,10,38,,,16,2
12,13496,28,6,,,6,2
13,179,11,122,,,16,2
14,2014,29,6,,,16,2
15,181,9,5,,,16,2
16,1696,30,34,,,16,2
17,183,36,40,,1,18,2
18,184,28,6,,,6,2
19,185,66,6,,,18,2
20,1671,3,6,,,6,2
21,88,3,6,,,16,1
22,4975,5,6,,,6,2
23,193,11,122,,,16,2
24,2396,26,6,,,6,2
25,15000,29,6,,,6,2
26,186,3,6,,,16,2
27,2598,29,6,,,6,2
28,2365,69,2,,,16,2
29,4703,70,5,,,16,2
30,190,11,122,,1,2,2
31,204,10,38,,,6,2
32,1495,26,6,,,6,2
33,171,5,6,,,6,2
34,734,32,2,,,16,2
35,197,2,4,,,6,2
36,198,8,5,,,16,2
37,2082,31,6,,,16,2
38,200,13,38,,1,4,2
39,201,10,38,,,16,2
40,202,66,6,,,12,2
41,203,66,6,,,12,2
42,204,10,38,,,6,2
43,88,3,6,,,16,2
44,3139,8,5,,,16,2
45,169,225,6,,,6,2
46,6859,66,6,,,6,2
47,169,225,6,,,6,2
48,104,3,6,,,6,2
49,207,10,38,,,6,2
50,208,2,4,,,6,2
51,170,4,6,,,16,2
52,169,225,6,,,6,2
53,171,5,6,,1,4,2
54,203,66,6,,,6,2
55,200,13,38,,,18,2
56,209,10,38,,,16,2
57,210,10,38,,,6,2
58,4956,8,5,,,16,2
59,204,10,38,,,6,2
60,212,71,38,,,6,2
61,200,13,38,,1,2,1
62,213,32,2,,1,18,2
63,214,30,34,,,16,2
64,169,225,6,,,6,2
65,122,1274,2,,,6,2
66,215,34,2,,,6,2
67,216,35,6,,,6,2
68,3311,75,6,,,10,2
69,2014,29,6,,,16,2
70,1449,11,122,,,16,2
71,219,33,6,,,6,2
72,4158,21,34,,,16,2
73,221,2,4,,,6,2
74,2365,69,2,,,16,2
75,222,5,6,,,6,2
76,1495,26,6,,,6,2
77,222,5,6,,,6,2
78,190,11,122,,,16,2
79,171,5,6,,,6,2
80,259,13,38,,,,2
81,260,8,5,,,16,2
82,261,32,2,,,24,2
83,263,3,6,,,16,1
84,265,3,6,,,,2
85,269,3,6,,,6,2
86,271,175,6,,,16,2
87,1459,13,38,,,16,2
88,277,78,2,,,6,2
89,209,10,38,,,16,1
90,280,3,6,,,16,1
91,282,35,6,,,18,2
92,263,3,6,,,16,2
93,283,11,122,,,16,2
94,285,39,5,,,16,2
95,169,225,6,,,16,1
96,286,8,5,,,16,2
97,288,175,6,,,16,2
98,2375,40,2,,,16,2
99,291,4,6,,,6,2
100,293,11,122,,,16,2
101,168,2,4,,,6,2
102,321,15,3,,,16,2
103,5393,3,6,,,6,2
104,324,10,38,,,6,2
105,326,4,6,,,6,2
106,280,3,6,,,16,2
107,204,10,38,,,16,2
