firmenId,firma,firmaQuelle
10,Kriner und Schmidt,"Krinner und Schmid, Krimer und Schmid, Khrimer und Schmid, Krinner und Schmid, Krienner und Schmid, Krünner und Schmid, Cruner und Schmid, Khrümer und Schmid, Krümer und Schmid"
9,Johann Nöstl sel. Witwe,Johann Nöstl sel. wittib
8,Hess und Tech,"Hesse und Tech, Hess und Tech, Heess und Tech"
7,Gmainer sel. Erben,hr. Gmainers seel. erben
6,Gindl und Hink,Gindl und Hinkh
5,Gebrüder Martinelli,"fratelli Martinelli, gebrüeder Martinelle, fratelli et Martinelli, frandelli Martinelli"
4,Fünfer und Pränkl,Fünffer und Pränkhl
3,Depra Ducrue & Co.,"Depra Duxrue et comp., Depro du Frie et comp."
2,Claudius Clerr sel. Erben,Claudi Clerr seel. erben
21,Föhr und Wanner,"Föhr und Wanner, Föhr und Wahner, Föhr und und Wanner, Führ und Wahner"
1,Anton Hölzl & Co.,Antoni Hölzl et compagnia
13,Primier Witwe und Kopp,Brimers wittib und Kopp
15,Kreidemann und Liebert,"Kreidenmann und Liebert, Kreideman und Liebert"
16,Heinrich Krochmann & Co.,"Hainrich Krochmann et comp., Krochmann et comp., Krochman et compag."
17,Matthias Kessler sel. Witwe,Matthias Kösslers seel. wittib
18,Coith und Korb,Coith und Korb
19,Berlin und Reichhard,Berlin und Weichhard
11,Orientalische Kompanie,"kay. privilegirt orientallische comp., oriental. comp."
123,Facius und Merl,"Facio et Merl, Facie et Merl, Facie Merl, Fascho Mere, Facio Mere, Foieck und Merle, Foiecha et Merl, Foieta Merl, Farela e Merla, Foin Merl"
20,Perinet und Falquet,"Perinet et Falquet, Berinet et Falquet, Berinet Falquet"
22,Philipp Gundian sel. Erben,"Phillipp Gundians seel. erben, Phillipp Gundians"
23,Ruffini & Co.,"Ruffini et compagnia, Luffini et comp., Roffini et compag."
24,Primier Witwe & Co.,"Primiers wittib et comp., Brimiers seel. wittib, Prümmers seel. wittib"
25,Rad und Hößlin,"Rad und Hößlin, Rad und Höslin, Rath und Höslin, Rad und Heslin, Rad unnd Hösling, Rad unnd Röslin, Prad unnd Höslin, Brad unnd Höslin"
26,Rauner und Münch,"Rauner und Minich, Rauner und Minih"
27,Rausch und Lang,Rausch und Lang
28,Stockinger und Eberhard,Stockinger und Eberhard
29,"Thorin, Arbaur & Co.",Thoin Arbaur et comp.
31,Cimarolli und Martinelli,"Cimeroli et Martinelli, Zimeroli et Martinelli, Zimeroli Martinelli"
32,Cimarolli und Zuana,Zimeroli et Zuanna
33,Bormastini und Butterna,"Bormastini und Wutterna, Bormastini und Wuderna, Pormastini et Watterna, Pormostini et Wutterna, Burmastini et Buterna, Burmastini et Nutterna"
34,Mayr und Miller,"Mayr und Miller, Mayr und Millner"
69,Paul Schedlberger sel. Witwe,"Paul Schedlbergers wittib, Paul Schedlbergers seel. wittib"
37,"Passy, Decret & Co.","Passy Decert et compag., Bassy Decert et comp., Bassy Decert et compag."
71,Johann Friedrich Werti sel. Witwe,Johann Friderich Werti sel. wittib
41,Bosquet und Abria,Bosquet et Abrie
42,Wernberger & Co.,"Wernberger et comp., Wernberger et compag."
43,Göbl und Riedl,"Göbl und Riedl, Gebl und Riedl"
44,Wenzl und Preissl,"Wenzl und Preissl, Wenzl Preissl, Wenceslaus Preinsl"
45,Jakob Koller sel. Witwe,Jacob Kollers seel. wittib
46,Rick und Peck,Rikh und Beck
47,Schlüter und Happach,"Schlitter und Habbach, Schlitterer und Happach, Schlütter und Happach, Habbach und Schlitter, Happach und Schlitter, Schlütter und Habbach, Häppach und Schlüter"
48,Gebrüder Palm,"gebrüeder Palm, Palm gebrüeder, gebrüeder v. Palm, gebrüder v. Pallm, gebrüeder v. Pallen, gebrüeder Pallen, kay. kupfer adminis. gebrüeder Palm, gebrider von Pallm"
49,Peter Eder sel. Witwe,Peter Eders seel. wittib
50,Wicky und Huber,Wikhi und Hueber
