herkunftId,herkunft,herkunft_quelle,region,literatur
1,Neuhaus,Neuhauß,,
2,Nürnberg,Niernberg,"Nürnberg, Reichsstadt",
3,Linz,"Linz, Lins","Oberösterreich, Erzherzogtum",
4,Aschach (an der Donau),Aschach,"Oberösterreich, Erzherzogtum",
5,von der Mühl,"von der Michl, von der Mühl, in der Michl, in der Mühel, auß der Mihl","Oberösterreich, Erzherzogtum",
6,Langhalsen,Langholsen,"Oberösterreich, Erzherzogtum",
7,Rosenheim,"Roßenhaim, Rosenhaim, Roßenhaimb, Roßenhamb, Rossenham","Bayern, Herzogtum",
8,Kufstein,"Kopfstain, Khopfstain","Tirol, Grafschaft",
9,Hall,"Hall, Haall, Haal","Tirol, Grafschaft",
10,Passau,"Passau, Passaw","Passau, Hochstift",
11,Regensburg,Regenspurg,"Regensburg, Reichsstadt",
12,Pressburg,"Preßpurg, Preßperg","Ungarn, Königreich",
13,Obernzell/Hafnerzell,"Obernzehl, Hafnerzehl","Passau, Hochstift",
14,Kobling,"Kobling, Khobling","Oberösterreich, Erzherzogtum",
15,Ulm,"Ulm, Ulmb, Ulbm","Ulm, Reichsstadt",
16,Lechbruck,"Lechbruck, Legbrugg, Legbruckh, Lechpruckh","Augsburg, Hochstift",
17,Steyr,"Steyr, Steur","Oberösterreich, Erzherzogtum",
18,Rannariedl,Rännäridl,"Oberösterreich, Erzherzogtum",
19,Berchtesgaden,"Bertlesgaden, Bertasgaden, Pertolßgatten, Pertelesgaden","Berchtesgaden, Fürstpropstei",
79,Stein,Stain,"Niederösterreich, Erzherzogtum",
21,Salzburg,"Salzburg, [Sallaburg???]","Salzburg, Erzstift",
22,Straubing,Straubing,"Bayern, Herzogtum",
24,Tölz,"Tölz, Telz, Tülz","Bayern, Herzogtum",
25,Eferding,"Eferding, Eferting, Efording","Oberösterreich, Erzherzogtum",
26,Wesenufer,"Wesenurfahr, Wesenurfehr, Weßenurphar",Oberösterreich,
27,Wien,Wienn,"Niederösterreich, Erzherzogtum",
28,Freizell/Marsbachzell,"von der Freyzehl, von der Zehl, Freyzehl, Marspachzehl, Maspachzehl, Marspachzehl, von der Maspachzehl, von Masper Zehl, auß der Zehl, Maspach [CAVE- das ist falsch!!!]","Oberösterreich, Erzherzogtum",
29,Engelhartszell,"Englzehl, Englhartszehl, Englerszehl, Englers","Oberösterreich, Erzherzogtum",
30,Laufen,Laufen,"Salzburg, Erzstift",
31,St. Georgen,"S. Georgen, St. Geörgen, St. Jörgen","Oberösterreich, Erzherzogtum",
32,München,Minichen,"Bayern, Herzogtum",
33,Hofkirchen (im Mühlkreis),Hofkürchen,"Oberösterreich, Erzherzogtum",
34,Neuötting,"Neuen Ötting, Neuer Ötting","Bayern, Herzogtum",
35,Grafenau,"Gräfenau, Grafenau","Oberösterreich, Erzherzogtum",
36,Saal,"Sall, Saal, Postzahl (= Postsaal/Post-Saal), Sal","Niedermünster, Reichsstift",
234,Aldersbach,"Alderspach, Allerspach","Bayern, Herzogtum",
38,Pupping,"Pubing, Pupping","Oberösterreich, Erzherzogtum",
39,Kitzbühel,"Küzbichl, Käzbichl","Tirol, Grafschaft",
40,Bogenberg,"Pogenberg, Pognberg, Pogendorff","Bayern, Herzogtum",
41,Deggendorf,"Deckendorff, Teekhendorff, Degendorff, Döggendorff, Deigendorff","Bayern, Herzogtum",
42,Hallein,"Hällä, Hälla, Häla, Halla, Hälä","Salzburg, Erzstift",
43,St. Florian,S. Florian,"Oberösterreich, Ezherzogtum",
44,Ottensheim,"Ottensh., Ottenshaim","Oberösterreich, Erzherzogtum",
45,Lembach,"Lembach, Lempach","Oberösterreich, Erzherzogtum",
46,Tyrlaching,"Tyrlaching, Pierlaching","Salzburg, Erzstift",
47,Schönberg (in Bayern),Schenberg,"Bayern, Herzogtum",
48,Kasten (an der Donau),"Casten, Kasten","Passau, Hochstift",
49,Stadtamhof,"Statt am Hoff, Payrisch Hoff, Bayrisch Hof, Bayrisch Hoff, Statthoff, Pairisch-Hofen, Bayr. Hoff, Payrischenhoff","Bayern, Herzogtum",
50,Emmersdorf (an der Donau),Emerstorff,"Niederösterreich, Erzherzogtum",
51,Kelheim,"Kelhalbm, Kelhaimb, Kelhamb","Bayern, Herzogtum",
52,St. Martin (im Mühlkreis),"St. Mörth, S. Mörten, S. Mörthen","Oberösterreich, Erzherzogtum",
53,Petzenkirchen,Pözenkürchen,"Niederösterreich, Erzherzogtum",
54,Wasserburg (am Inn),"Wasserburg, Wassburg, Waßerburg","Bayern, Herzogtum",
55,Putzleinsdorf,"Puzlstorff, Buzlstorff","Oberösterreich, Erzherzogtum",
56,Weihenstephan,"Weichenstephan, Weichenstephan in Bayrn, Weichenstephan negst Freysing, Weich Stephan in Bayrn, Weichstephan in Payrn, Weyhstephan in Bayrn","Bayern, Herzogtum",
57,Landau,"Landtau, Handau","Bayern, Herzogtum",
58,Ebersdorf,Eberstorff,"Niederösterreich, Erzherzogtum",
59,Seestetten,"Seestötten, Sestötten, Seestott","Bayern, Herzogtum",
60,Sandbach,"Santbach, (Dautbach?), Schadbach, Santpach, Sanntbach","Bayern, Herzogtum",
61,Landshut,Landtshueth,"Bayern, Herzogtum",
62,Augsburg,Augspurg,"Augsburg, Reichsstadt",
63,Kallmünz,"Kalminz, Kolmiz, Kollmiz, Kolminster","Pfalz-Neuburg, Herzogtum",
64,Obernberg (am Inn),"Obernberg, Obernperg","Passau, Hochstift",
65,Brandstatt,"Prandstatt, von der Prandstatt, Prandtstadt, Prandtstath, in der Brandstatt","Oberösterreich, Erzherzogtum",
66,von der Ranna,"von der Rännä, Rännä, in der Ränna, in der Renna, vin der nider Rannä [ist das sinnvoll? wäre das nicht bei Niederranna besser aufgehoben?]","Oberösterreich, Erzherzogtum",
68,Neukirchen am Walde,"Neukürchen, Neukürchen am Walth, Neukh., Neukürchen am Wald, Neykhirchen

Noch ÜBERPRÜFEN!!!",Oberösterreich,
69,Schärding,Schörding,"Bayern, Herzogtum",
70,Angath,"Angeth, Anget","Tirol, Grafschaft",
71,Perlesreut,"Perlesreith, Berlesreith, Berlesreidt","Passau, Hochstift",
72,Burglengenfeld,"Purglengfeld, Burglehnfelden, Lengenfeld","Pfalz-Neuburg, Herzogtum",
73,Wels,,Oberösterreich,
74,Altenhof,Altenhoff,"Oberösterreich, Erzherzogtum",
75,Sallatobel,"Saladopl, Saldopl, Sallertobl","Oberösterreich, Erzherzogtum",
77,Neuburg,Neuburg,,
78,Mitterbichl,"Miterbichl, Mitternbichl, Mitterpichl","Bayern, Herzogtum",
81,Gmunden,Gmunden,"Oberösterreich, Erzherzogtum",
82,Braunau (am Inn),Praunau,"Bayern, Herzogtum",
83,Häuseln,"Heußln, Heußl, Häußln, außn Heusl, Heusln im See","Oberösterreich, Erzherzogtum",
159,Garmisch,"Germsch, Gernisch
","Freising, Hochstift",
85,Einöd (Passau),"Ainött, von der Aineth, Ainet, Aineth","Oberösterreich, Erzherzogtum",
830,Freistadt (im Mühlviertel),"Freystatt, v. d. Freystatt","Oberösterreich, Erzherzogtum",
86,Mittenwald,"Mitterwald, Mitterwalth","Freising, Hochstift",
87,von der Au,"von der Au, in der Au, von Aw, aus der Au, in der Hagenau, von der Hagenau, Hagenau","Oberösterreich, Erzherzogtum",
88,Weitenegg,"Weidenegg, Weideneckh, Weidtenegg","Niederösterreich, Erzherzogtum",
89,Krems,"Crembs, Krembs, Chrembs","Niederösterreich, Erzherzogtum",
90,Glarus,"Clary, Clarus, Clariß","Schweiz, Eidgenossenschaft",
92,Vilshofen,"Vilzhofen, Wilzhofen, Fülzhofen, Vilßhofen","Bayern, Herzogtum",
93,Lambruck,Lambruckh,,
94,Dreissenau,"Dreysenau, Treysenau, Dreyssenau, Treißenaw, Treissenau, von der Dreysenau, von der Dreyßenau","Oberösterreich, Erzherzogtum ",
95,Mauthausen,"Maudhaußen, Mätthausen, Maithausen","Oberösterreich, Erzherzogtum",
96,Salzmann,"Salzman, Salzmann, Salzmanguett","Oberösterreich, Erzherzogtum",
97,Murnau,"Murau, Murnau, Mura","Bayern, Herzogtum",
98,Schongau,"Schangau, Schengau, Schonkhau, Schunckhau, Schannggau, Schankhau","Bayern, Herzogtum",
99,Peiting,"Peutingen, Peiting, Peüzing, Peitingen, Peitting, Peuting, Peuttingen","Bayern, Herzogtum",
100,Donauwörth,"Danauwörth, Thonauwerth","Bayern, Herzogtum",
101,Schalding,"Scholding, Scholting, Schalting, Schalding, Schalling","Bayern, Herzogtum",
102,Irring,"Iring, Yhring, Vring","Passau, Hochstift",
103,Haslach,Haslach,"Oberösterreich, Erzherzogtum",
104,Partenkirchen,Partenkürchen,"Freising, Hochstift",
105,Reinhausen,"Rainhaußen, Ranhausen, Rahausen, Rächähausen, Sächähausen, Rainhaussen, Rachausen, Rähaussen","Bayern, Herzogtum","<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
"
1374,Rohr (Bayern/Schwaben),Rohr,,
108,Mainz,,"Mainz, Erzstift",
109,Würzburg,,"Würzburg, Hochstift",
110,Reichersberg,"Reichersperg, Closter Reichensperg, Reichensperg","Bayern, Herzogtum",
111,Aidenbach,,"Bayern, Herzogtum",
112,Niederösterreich,Unterösterr.,"Niederösterreich, Erzherzogtum",
404,Wiener Neustadt,Wienerischen Neustatt,Niederösterreich,
114,Pielenhofen,"Pilnhoff, Pühlhoff, Pihlnhofen, Pühlnhofen, Pülnhofen, Pülnhoffen, Philnhof, Pildorff, Pilndorffen","Pfalz-Neuburg, Herzogtum",
115,Mossendorf,"Mossendorf, Moendorff, Moßendorff, Mosendorff","Pfalz-Neuburg, Herzogtum",
116,Hochdorf,Hochdorff,"Pfalz-Neuburg, Herzogtum",
118,Regen,"Regen, Rögen","Bayern, Herzogtum",
119,Schwaz,"Schwaz, Schaz","Tirol, Grafschaft",
120,Sibenthurn,Sibenthurn,,
121,Nußdorf (am Inn),"Nussdorf, Neußdorff, Nußdorff","Bayern, Herzogtum",
122,Falkenstein,Falckhenstain,,
123,Seebach,Sebath,"Bayern, Herzogtum",
242,Mering,Mering,,
125,Landsberg,"Landsperg, Landspurg","Bayern, Herzogtum",
126,Windorf,"Windorff, Wittorff, Widorff","Passau, Hochstift",
127,Pleinting,"Bleintling, Pleintling, Plimtling, Pleinding, Blättling, Blätling, Peuting(? siehe Schuster Christoph?)","Bayern, Herzogtum",
128,Innsbruck,Yhnsprugg,"Tirol, Grafschaft",
129,Audorf (Ober-),Audorff,"Bayern, Herzogtum",
130,Heidelberg,Haidlberg,"Kurpfalz, Pfalzgrafschaft",
