herkunftId,bemerkung
76,Oberösterreich
33,"CAVE: Drei Orte Hofkirchen angelegt: Hofkirchen in Oberösterreich (im Mühlkreis), Hofkirchen in Bayern (an der Donau) und ein unbestimmtes H. Bitte zu den ersten beiden nur zuordnen, wenn man sicher ist, sonst das unbestimmte H. nehmen."
80,Bayern
1,"Für Personen aus den AMP, die weder N. (an der Donau) noch N. (am Inn) eindeutig zugeordnet werden können: Aichinger, Forstmayr, Gumbeshammer (evtl. eine Verbindung zu ""Gumbesberg"" an der Mühl - dann N. an der Donau), Gumpesbeck, Hager, Hahn, Höller (eher N. am Inn.), Hofer (eher N. am Inn), Huber, Koch, Krazer, Leger (Transport von Schnecken - passt weder zu N. an der Donau noch zu N. am Inn), Mörthenschlag, Preckinger, Vichbrot, Vollmayr, Wolf Georg, Wolf Matthias."
57,Landau an der Isar
83,"Wohl eine Kurzform von Gaishäusel bzw. Donauhäusel (siehe die Familien Andlanger, Kurzmann, Lenz, Preuer, Windsteiger).
Bitte, nicht mit diesen beiden zusammenlegen, da das zu verwirrend ist. Eine Erklärung findet sich in der Normdatei."
729,Neustift im Mühlkreis
791,Herrschaft im Besitz der Grafen Sprinzenstein.
625,Penzenau ?
626,"Ortsteil von Kelheim, direkt an der Donau zwischen Kelheim und Regensburg.
Evtl. handelt es sich auch beim Ort ""Lohrsdorf"" (siehe dort) um eine Verschreibung von L."
46,Heute Bayern.
84,Unklar. Wahrscheinlich ist damit von der Freizell gemeint
70,Angath (bei Wörgl)
85,"Für einige Personen ist Einöd endeutig mit Einöd in der Grafschaft Neuburg am Inn zu identifizieren (Familien Wibmer und Sattler), es gibt aber auch unklare Fälle, dann bitte das unbestimmte Einöd verwenden!
In jdem Fall ist es vom Einöd (an der Traisen) aus den Kremser Quellen (NÖ!) zu trennen!

Die Grafschaft Neuburg am Inn gehörte zum  Land ob der Enns. Einöd ist heute ein Teil von Heining, das wiederum zu Passau gehört. 
"
77,"Das unbestimmte N. wird für Personen verwendet, die weder N. an der Donau, noch N. am Inn (siehe jeweils dort) eindeutig zugeordnet werden können."
742,Heute: Marktschellenberg
49,"Gegenüber von Regensburg, heute Teil Regensburgs"
87,"Wahrscheinlich Oberösterreich: Wahrscheinlich Gstöttenau/Puppinger Au, stromabwärts von Pupping oder Grafenau. Oder Kaiserau (Aschach). 
Siehe auch Hagenau (am Inn).
CAVE: Es gibt aber auch ein Au am Inn (bzw. ""Au in Bayern"")! Das geht aus der Nennung eines Klosters zu Au in Bayern hervor. Bei der Erstellung des Ortsverzeichnisses sind hier alle zusammengefassten Angaben zu überprüfen!
Siehe Hs 136 (1737), pag. 1209: F. Dilli von Neuhaus mit einem Herrn ""in die Hagenau"". Da das Fahrzeug Aschach passierte, muss Hagenau donauabwärts von Aschach liegen!"
90,"Die Zuordnung zur Schweiz ist sicher, da ein Händler/Schiffmeister (Trempi) mit Steintischen kommt und im Kanton ein großer Abbau von Schiefer für Tafeln und Tische bestanden hat bzw. noch besteht, außerdem ist der Name ""Trümpi"" in Glarus sehr verbreit und Glaris die franz. Bezeichnung für Glarus. Vgl. auch Christoph Trümpi, Neuere Glarner-Chronick (...). Glarus 1774, und die dort genannten Personen."
1119,Dieser Ort ist mit nichts mehr verbunden? LÖSCHEN?
94,"Gebiet um die Einzellage/Liegenschaft ""Dreiss"" (siehe auch die Mitglieder der Familie Dreiss.
Mapire: https://mapire.eu/en/map/cadastral/?bbox=1557839.4751790324%2C6173678.099719103%2C1561467.8453654442%2C6174872.428286059&layers=osm%2C3
Gegenüber von Unterschmidelsau."
96,"Teil von Vilshofen (bzw. südöstlich)
CAVE: Da Salzmann zum Kiliansamt der Grafschaft Neuburg am Inn gehörte, ist es Oberösterreich zuzurechnen."
97,"Das transportierte Holzhandwerk deutet auf Murnau am Staffelsee in Bayern hin, ebenfalls der Familienname ""Pierling"", jedenfalls nicht auf Morau in Oberösterreich. Keinesfalls jedenfalls ein Ort in der Steiermark, auch wenn ""Murau"" dort steht!!!
Im bayerischen Murnau gab es auf der Loisach Floßfahrt, auch die nahe Isar und deren Schiffmeister wurden teilweise herangezogen. Murnau gehörte zum Klostergericht Ettal, das Warenspektrum ist identisch.

Z.B: Familienname ""Guglhör"" bis heute in Murnau verbreitet: http://www.willy-guglhoer.de/
Alle Personen können in den Matriken von Murnau a. Staffelsee gefunden werden!"
100,"Reichsstadt, ab 1714 endgültig bei Bayern."
101,"Alle Personen, die unter Sch. in den AMP genannt sind, wurden in den Matriken von Heining überprüft. Dort wurde - so weit ersichtlich - ""Schalding rechts der Donau"" ohne Zusatz angegeben, für das heutige ""Schalding links der Donau"" wurde die Bezeichnung ""Enterschalding"" (bzw. ""E. Schalding"") verwendet. Zu dieser Unterscheidung siehe auch: ROTTMAYR, Statistische Beschreibung, 241f. Zahlreiche Personen scheinen darüberhinaus auch in direkt umliegenden Orten, v.a. Wörth, Heining, Einöd, in den AMP und den Matriken auf. Ob des vielfach gleichen Vorkommens von Orts- und Personennamen links und rechts der Donau bleibt eine Restunsicherheit bezüglich Schalding rechts/links der Donau, weshalb der Ort als ""nicht-eindeutig identifiziert"" gekennzeichnet wurde. Es ist zu beachten, dass Schalding links der Donau nicht zum Herzogtum Bayern, sondern zum Bistum Passau gehörte.
Bezüglich der Zugehörigkeit zum Herzogtum Bayern für Schalding rechts der Donau siehe JUNGMANN-STADLER, Historischer Atlas, bes. 139."
64,Passauische Enklave im Innviertel (Bayern). 1782 an Österreich abgetreten.
58,"Viele Möglichkeiten in OÖ und NÖ. In Bezug auf Peter Köffinger (Köflinger) ist die Zuordnung zu NÖ jedoch eindeutig, da er auch unter dem benachbarten Emmersdorf und der dazwischen liegenden Herrschaft Weitenegg aufscheint; ebenso als ""nauta"" (Schiffer) in den Matriken der Pfarre Ebersdorf/NÖ zu der auch Teile von Emmersdorf gehören: http://data.matricula-online.eu/de/oesterreich/st-poelten/ebersdorf/A+3/?pg=42.

Bei weiteren Nennungen von Ebersdorf ist nicht automatisch dieses Ebersdorf zu verwenden, sondern zu prüfen, um welchen Ort es sich handelt!!!"
102,"Heute Kreis Passau.
Cave: Nicht mit ""Ering"" am Inn zu verwechseln.

"
103,Haslach an der Mühl (Webereizentrum - heute noch ein Webereimuseum: https://www.textiles-zentrum-haslach.at//webereimuseum)
104,"Ab 1802/3 bei Bayern.
(Grafschaft Werdenfels)"
60,Sandbach ist heute ein Ortsteil von Vilshofen.
105,"Heute der Stadtbezirk 07 von Regensburg. Liegt direkt am Fluss Regen und verfügt über einen Steinbruch. Die Flößerei hatte eine lange Tradition. Neben Stein wurde vor allem Holz aus dem Bayerischen Wald geflößt.
Art. Reinhausen: http://de.wikipedia.org/wiki/Reinhausen"
686,"Cave - immer schauen, um welches Enzersdorf es sich handelt! Siehe auch ""Maria Enzersdorf"" und ""Enzendorf"")
Groß-Enzersdorf ist für den freisingischen Besitz und die Pfleger von ""Enzersdorf"" zu wählen (in unserer Zeit ausschließlich Mitglieder der Familie von Everhardt).
Niklas Freiherr von SCHRENCK-NOTZING, Das Hochstift Freising und seine Beamten. Zur Genealogie der freisingischen Pfleger in den österreichischen Herrschaften 1550-1800, in: ZBLG 28 (1965) 190-258.
https://periodika.digitale-sammlungen.de/zblg/seite/zblg28_0218"
113,Unklar. Niederösterreich?
711,"L. wir in den AMP nur in Zusammenhang mit einer Person, Elias Häckl, genannt. Eine Person gleichen Namens kommt auch unter ""Kirchdorf"" vor. Dabei könnte es ich um Kirchdorf an der Iller handeln. Von der Iller scheinen auch andere Schiffführer einer Familie Häckl in den AMP auf. Jedoch kann ein passender Ort L. an der Iller nicht eruiert werden. Es wären daher auch die bayerischen Orte L. als OT von Bad Endorf sowie ""Oberlanding"" bzw. ""Unterlanding"" als OT von Vilsbiburg möglich (bei GeoNames: ""Landing/Vilsbiburg"")."
