personenId,ergaenzt
693,1
1181,1
3054,1
5176,1
2904,1
12680,1
13290,1
87,1
22655,1
22743,1
18754,1
128,1
22959,1
1753,1
385,1
1037,1
23022,1
67,1
247,1
927,1
224,1
659,1
13845,1
1518,1
7010,1
702,1
2388,1
665,1
1165,1
4996,1
9,1
19364,1
1166,1
7553,1
6187,1
74,1
14843,1
2464,1
93,1
71,1
4448,1
75,1
15145,1
79,1
4775,1
16468,1
78,1
63,1
1178,1
10077,1
17265,1
1519,1
64,1
3646,1
701,1
253,1
1329,1
97,1
12708,1
5329,1
13218,1
4305,1
18594,1
17750,1
2191,1
3468,1
1655,1
3294,1
4749,1
10816,1
4339,1
1537,1
697,1
4307,1
15858,1
15279,1
2902,1
8626,1
11480,1
914,1
670,1
2409,1
9202,1
4855,1
16386,1
381,1
15547,1
4589,1
98,1
10363,1
728,1
8966,1
9366,1
10482,1
51,1
8025,1
4783,1
9647,1
13816,1
2942,1
351,1
17456,1
32,1
2106,1
21307,1
11,1
11680,1
23337,1
23338,1
23339,1
3062,1
596,1
18690,1
23950,1
23975,1
5785,1
9027,1
8389,1
2008,1
80,1
1616,1
2152,1
595,1
24122,1
17157,1
14749,1
4585,1
23621,1
12210,1
4929,1
20011,1
1118,1
5,1
4513,1
12308,1
16749,1
16429,1
23824,1
8739,1
4582,1
17628,1
16827,1
3206,1
5618,1
5571,1
4849,1
2860,1
1031,1
393,1
8018,1
3204,1
11946,1
18255,1
9040,1
4806,1
962,1
10626,1
4220,1
1129,1
3861,1
957,1
2954,1
20688,1
7797,1
14268,1
478,1
17906,1
9414,1
1480,1
19577,1
225,1
16482,1
62,1
7748,1
14059,1
12593,1
3920,1
2321,1
1185,1
319,1
57,1
17409,1
12369,1
398,1
20819,1
4722,1
70,1
9960,1
2156,1
2915,1
15615,1
1023,1
3117,1
14477,1
13387,1
8385,1
13089,1
10766,1
529,1
714,1
3769,1
2127,1
1932,1
23286,1
13841,1
315,1
8669,1
20572,1
1607,1
717,1
4724,1
18016,1
5022,1
21007,1
17153,1
5510,1
15032,1
1168,1
442,1
10133,1
3410,1
10360,1
19915,1
10237,1
8450,1
960,1
4417,1
2250,1
352,1
11163,1
13,1
25464,1
25465,1
7114,1
16762,1
3181,1
6993,1
25764,1
25911,1
858,1
26151,1
3247,1
5215,1
1847,1
6518,1
142,1
299,1
2403,1
9774,1
157,1
1712,1
309,1
471,1
8300,1
22060,1
3910,1
7534,1
1725,1
11900,1
2410,1
26339,1
26416,1
12675,1
26430,1
967,1
223,1
26709,1
26729,1
9434,1
27011,1
26751,1
2060,1
27208,1
27250,1
11611,1
4980,1
27860,1
12288,1
28004,1
28120,1
719,1
24634,1
1000,1
1153,1
907,1
28248,1
28285,1
28330,1
1001,1
22815,1
28755,1
16885,1
26551,1
29124,1
1209,1
26610,1
20902,1
2,1
14739,1
974,1
29474,1
26634,1
4314,1
26492,1
29561,1
25125,1
1862,1
26694,1
2737,1
1180,1
999,1
926,1
5676,1
2871,1
25151,1
127,1
2812,1
30355,1
31190,1
7180,1
9099,1
306,1
353,1
32261,1
15021,1
9165,1
34099,1
