personenId,herkunft,herkunftname
17268,24,Tölz
2,2,Nürnberg
5,11,Regensburg
9,2,Nürnberg
11,27,Wien
13,11,Regensburg
18,3,Linz
24,21,Salzburg
32,15,Ulm
33,11,Regensburg
35,27,Wien
41,29,Engelhartszell
42,44,Ottensheim
44,27,Wien
45,27,Wien
46,27,Wien
51,15,Ulm
57,27,Wien
2419,10,Passau
62,11,Regensburg
63,11,Regensburg
64,27,Wien
65,27,Wien
67,11,Regensburg
70,11,Regensburg
71,11,Regensburg
73,89,Krems
74,11,Regensburg
75,11,Regensburg
78,11,Regensburg
79,3,Linz
80,3,Linz
81,3,Linz
11458,13,Obernzell/Hafnerzell
87,11,Regensburg
88,3,Linz
32002,27,Wien
93,2,Nürnberg
97,62,Augsburg
98,27,Wien
100,73,Wels
101,74,Altenhof
102,18,Rannariedl
104,3,Linz
110,4,Aschach
277,78,Mitterbichl
10255,10,Passau
119,3,Linz
121,69,Schärding
122,1274,Hofkirchen (an der Donau)
124,11,Regensburg
28520,13,Obernzell/Hafnerzell
127,3,Linz
128,2,Nürnberg
269,3,Linz
168,2,Nürnberg
268,27,Wien
172,11,Regensburg
171,5,von der Mühl
139,27,Wien
141,27,Wien
142,27,Wien
146,27,Wien
147,27,Wien
170,4,Aschach
169,225,Neuhaus (an der Donau)
9948,128,Innsbruck
155,4,Aschach
157,27,Wien
162,3,Linz
165,3,Linz
166,68,Neukirchen am Walde
167,55,Putzleinsdorf
174,27,Wien
176,4,Aschach
177,10,Passau
179,11,Regensburg
181,9,Hall
183,36,Saal
184,28,Freizell/Marsbachzell
185,66,von der Ranna
186,3,Linz
190,11,Regensburg
193,11,Regensburg
4647,193,Wilhering
197,2,Nürnberg
198,8,Kufstein
200,13,Obernzell/Hafnerzell
201,10,Passau
202,66,von der Ranna
203,66,von der Ranna
204,10,Passau
207,10,Passau
208,2,Nürnberg
209,10,Passau
210,10,Passau
212,71,Perlesreut
213,32,München
214,30,Laufen
215,34,Neuötting
216,35,Grafenau
219,33,Hofkirchen (im Mühlkreis)
220,21,Salzburg
221,2,Nürnberg
222,5,von der Mühl
223,11,Regensburg
224,11,Regensburg
225,2,Nürnberg
232,27,Wien
239,27,Wien
6408,66,von der Ranna
247,11,Regensburg
253,11,Regensburg
271,175,Neuburg am Inn
258,4,Aschach
259,13,Obernzell/Hafnerzell
260,8,Kufstein
261,32,München
263,3,Linz
265,3,Linz
280,3,Linz
282,35,Grafenau
283,11,Regensburg
285,39,Kitzbühel
286,8,Kufstein
