ladungId,bemerkung
90358,"Der Passbrief umfasste insgesamt 20000 marmorene Fries-, Sockel- und Pflasterplatten für die ksl. Bibliothek, und 6 Kamine zum ksl. Gestütshofbau nach Halbturn."
161857,"Wert der Schweine: 1,5 fl."
112332,"Ware ergänzt, im Original nicht angegeben"
31,Gebühr beim Fahrzeug inbegriffen.
161851,Getreide von der heurigen Ernte in Landshaag.
66308,Jährliche Stiftung des Hauses Österreich.
96958,Gebühr berechnet.
35,"Gewicht nicht lesbar, errechnet."
162397,Gebühr berechnet.
208230,Laut ksl. Hofkammer Passbrief. Der Passbrief belief sich auf insgesamt 200 Stück Leinwand.
240230,"Nachname Quelle: ""Charcha""."
161771,"63/2 Stück Futterbarchent, 2 21/2 Stück Bettbarchent."
219671,"Nachname Quelle: ""Fridl""."
161704,Ware unsicher.
161554,"Quelle: ""Effingers erben""."
151,Abfahrt der Ware von Aschach aus.
150,Der Passbrief lautete insgesamt auf 40 Eimer.
167,Wert der Schweine: 1 fl.
208229,Der Passbrief belief sich auf insgesamt 200 Stück Leinwand.
309,Ware unsicher.
190096,Für die Verarbeitung als Brunnenröhren.
246685,"Transportgut Quelle: ""3 kübl""."
114297,"Der Passbrief lautet auf 4.000 Zentner Mehl oder die entsprechende Menge Körner.
"
114035,Die Ware war übriggeblieben und ging zurück. Daher war nur die Hälfte der Mautgebühr fällig.
114257,Das Korn wurde aus dem Aschacher Getreidekasten bezogen.
114296,Der Passbrief umfasste insgesamt 7500 Zentner Mehl. Der Anteil der Gebühr für die 84 Pfund konnte nicht erschlossen werden.
9062,"""Flöße an Bauholz""."
8987,"Nachname Quelle: ""Hiendlin""."
63971,Zur Schifffahrtsnotdurft.
13482,Die Gebühr ist in der Quelle falsch angegeben. Korrekt wäre 3 Schilling.
454,Marmor zum Bau des Klosters.
486,"""mit bötten [bötter?] und darzue gehörigen leingewand"""
532,Keine Mautgebühr angegeben.
533,Keine Mautgebühr angegeben.
121945,"Ware unsicher: ""Thaller""."
121951,Die Ware wurde bereits donauabwärts vermautet. Daher war nur die halbe Mautgebühr fällig.
599,Keine Mautgebühr angegeben.
619,"""mit Silber beschlagne Montille"""
8238,"Nachname Quelle: ""Hoflez""."
823,"Ware ""Tischtaferl"" unsicher. Evtl. nur ""Tisch"". Quelle: ""disch und schreibtäferl""."
741,"Vorname Quelle: ""Ataman""."
161535,Für den eigenen Mundtrunk der Kaiserinwitwe.
161483,Transport von Aschach aus.
827,Die Laden ohne Gebühr
142672,1 Ohm zu 3 Eimer.
142683,"Vorname Quelle: ""Johann Carlnei""."
56921,"Person Quelle: ""Hrn. Erzbischoffen v. Valenzia grafen v. Hardick"". Gemeint sein dürfte Antonio Folch de Cardona, Präsident des Spanischen Rats am Kaiserhof."
883,Vorname hier nur Anton.
893,Vorname Quelle nur Anton.
56922,"Person Quelle: ""Hrrn. Erzbischoffen v. Valenzia Grafen v. Hardick"". Fehler des Schreibers? Gemeint sein dürfte Antonio Folch de Cardona, Präsident des Spanischen Rats am Kaiserhof."
1021,Steine sind wohl Marmorsteine.
91941,Vom kurbayerischen Hof abgeschickt.
90783,Transport der Tiere von Salzburg aus.
90745,"Einheit ergänzt, in der Quelle nicht angegeben."
1124,Nachname Quelle: Pflieger
90741,Gebühr berechnet.
222243,Balsam: Keine Einheit angegeben.
33025,Lesung der Anzahl unsicher
1306,Vorname Quelle: Anton Matthias
55575,"Diese Ladung wurde laut Notiz bei der Fuhre aus Regensburg vom 15. April (Hs 108 [1721]), pag. 206, diesem Transport zugeordnet."
1399,Vorname Quelle: Johann Christoph
53937,1 Pfund und 2 Schilling (ß)
54882,Anm. des Bearbeiters: Die Maut von 2 d. entspricht eher 3/4 Pfund Spitze. 
259502,"Nachname Quelle: ""Arsaldin""."
1488,Anzahl der Holzwaren unsicher.
8232,Der Passbrief belief sich auf insgesamt 1200 Zentner Pulver.
161350,"Pferde für das Gut ""Schwaindorf"" des Passauer Fürstbischofs."
1619,Für die Livrée des Hofstaats der Kaiserinwitwe.
1625,Gewichtsangabe unsicher - könnte auch cS sein.
1706,"""Zur Hausnotdurft""."
90326,Aus dem Aschacher Herrschaftskasten.
1829,Ware Quelle: tragerei
39107,Mengenangabe der Spezerei ergänzt.
7111,"""leer an Bauholz""."
8182,Der Passbrief umfasste insgesamt 260 Karabiner und 245 Paar Pistolen.
1905,Abschlag auf einen Passbrief für 1000 Metzen.
22667,Quelle: Ohne Berufsbezeichnung.
1915,"""zu erpauung ihres [der Cölestinerinnen] abgebrenten Closters"""
1958,Für die Livréen des Hofstaats der verwitweten Kaiserin.
2793,Gewichtseinheit bei Tee ergänzt.
89320,Auf bittliches Ansuchen die Hälfte frei passiert.
89305,Der Passbrief umfasste insgesamt 7600 Stück Marmorsteine zum Bau einer Kirche und zweier Kapellen.
2156,Nachname Quelle: Dormacher
57223,Die Röte befand sich in einem Säckl.
89261,ksl. Reichs Passbrief
89208,Ware aus Augsburg.
64117,"Der Passbrief umfasste insgesamt 1000 Klafter. Transport von Regensburg nach Wien. Quelle: ""bächstall (...) zu raumung des arsional conals [Arsenalkanals]"".
https://www.geschichtewiki.wien.gv.at/Werdertor?uselayout=mobile"
81537,Gebühr berechnet.
2424,Bagabe von Kloster Schlägl nach Linz.
2426,Zum Bau der ksl. Bibliothek.
2427,Zum Bau des neuen Hochaltars.
2641,Für den Klosterbau.
89367,Am Linzer Markt gekauft.
2715,Zurückgehender Kurzware.
2717,Zum Bau des abgebrannten Pfarrhofstalls und Pfarrhofstadels zu Alkoven.
39279,Für das Schlossgebäude in Steyr.
2844,"Zurückgehende Wollware, die bereits flussabwärts vermautet worden war."
89491,In Passau neu hergestellte Kanzel.
44917,Zentner ist bei Farbzeug einmal ergänzt.
2896,Zurückgeführte Ware (Hälfte der normalen Gebühr).
2898,Zurückgeführte Ware (Hälfte der normalen Gebühr).
2969,Von der Lese der Jahre 1726 und 1727.
111914,"Der Passbrief umfasste das notwendige ""Obergewehr"" für 500 ungarische Rekruten des in der Lombardei stehenden Graf Gyulaischen Heiduckenregiments."
3167,Gewichtseinheit Tee ergänzt.
3301,"Baumaterialien wie ""Laden, latten, Raffen, Schindl und Schindlnägl, so zu erpauung des abgebrenten Renthoffs zu Königstötten in unter Österr. gehörig"". Passbrief vom Hochstift Passau, dessen Herrschaftsmittelpunkt im Tullnerfeld in Königsstetten lag."
89487,Transportgut Holz ergänzt.
3372,Waren für den Aschacher Jahrmarkt.
3376,Für einen Hochaltar.
106597,"Die Ware ging zurück, daher war nur die Hälfte der Mautgebühr fällig."
3458,"""mit des Engllend. hrn. gesandens Pferd und bogege"". Unklar, ob der Gesandte ebenfalls mit am Fahrzeug war."
3460,"""führt v. der herrschafft altenhoff der verwittibten fr. frauen gräfin v. Salaburg 5 muth (...)"""
3544,Zur Auspflasterung der Kirche.
54098,"Nachname Quelle: ""Englbert""."
5194,Quelle: Zohlgeschier.
5196,Quelle: Zohlgschier.
53759,"Nachname Quelle: ""Keitler""."
3637,Für im Vorjahr abgebrannten Bürgerhäuser in Steyr.
49568,"Quelle"" hrn. bschauer"". Damit ist der ksl. Mautbeschauer gemeint."
221255,"Nachname Quelle: ""Brunmuder"" [?]"
221085,Gebühr berechnet.
3646,"unsicher, ob die Ware auf diesem Fahrzeug transportiert wurde"
3707,Vorname Quelle: Jean Andrae
3708,Vorname Quelle: Jean Andrae
3733,"""6 stukh lähr Essene Pand pr. 400 Emer"""
3817,Aus dem Aschacher Ziegelstadel.
3823,Zum Bau des abgebrannten Passauischen Renthofs zu Königstetten.
90042,Aus dem herrschaftlichen Kasten in Aschach.
50584,"""ingleich pass."""
4012,Nachname Quelle: Pigoti
4013,Nachname Quelle: Pigoti
4050,"Kein ordentlicher Passbrief vorhanden, daher Mautleistung fällig."
4413,Die Ware wurde von Zettl verschickt.
4053,beschl. guett an tres:porthen
