ladung_zielortId,ladungId,zielort
1,2,3
2,8,27
3,30,65
4,35,3
5,62,27
6,64,27
7,80,27
8,114,27
9,171,3
10,183,3
11,187,3
3093,5732,27
13,250,27
14,369,1
3098,1185,112
3095,1014,4
3096,1017,112
18,442,3
19,454,43
20,457,3
21,508,3
22,575,3
23,623,3
3844,111589,27
25,790,25
26,808,11
27,814,4
28,821,38
29,834,4
30,835,3
31,902,79
32,905,27
33,916,27
34,984,27
35,1012,27
3097,89102,3
37,1020,3
38,1029,27
39,1163,27
40,1227,27
41,1255,3
3099,1550,112
3100,1560,3
44,1362,27
5568,161748,225
46,1480,4
47,1481,3
48,1525,11
49,1527,10
50,1562,3
51,1619,27
52,1620,27
53,1644,3
54,1718,11
55,1769,112
3101,2354,112
57,1798,3
58,1905,128
59,1915,17
60,1958,27
61,2068,3
62,2069,3
63,2188,3
64,2224,3
65,2259,3
66,2302,27
67,2307,27
68,2327,3
69,2335,11
70,2338,62
71,2340,11
72,2341,143
73,2424,3
74,2426,27
75,2427,145
76,2431,27
77,2434,27
78,2437,27
79,2438,27
80,2456,27
81,2589,27
82,2595,27
83,2637,10
84,2640,153
85,2641,38
86,2646,112
87,2663,3
88,2668,95
89,2674,6
5567,161573,3
91,2717,775
92,2859,10
93,2922,10
94,3001,4
95,3261,3
96,3301,162
97,3305,4
98,3372,4
99,3376,167
3855,111797,3
101,3458,27
102,3460,3
103,3544,170
104,3577,3
105,3591,3
106,3614,27
107,3637,17
108,3638,3
3121,3939,3
110,3722,27
111,3746,3
112,3816,3
113,3823,162
114,3825,4
115,3836,128
116,3837,9
117,3839,128
118,3875,27
119,3879,3
120,3915,27
121,3955,192
122,3997,27
123,3999,27
124,4050,27
125,4052,3
126,4086,145
127,4094,27
128,4096,27
130,4150,27
131,4153,27
132,4256,12
133,4280,3
134,4305,3
135,4371,27
136,4400,27
137,4413,179
138,4420,112
139,4441,201
140,4491,12
141,4493,205
142,4501,3
143,4588,210
144,4645,27
145,4662,3
146,4668,3
147,4670,27
148,4731,11
150,4763,27
151,4781,3
152,4799,4
153,4803,3
154,4823,3
155,4856,27
156,4981,3
157,5057,27
158,5060,3
159,5108,27
160,5118,27
161,5198,27
162,5200,3
163,5236,11
164,5239,3
165,5286,27
166,5358,17
167,5364,27
168,5367,3
169,5370,3
170,5373,27
171,5386,27
172,5388,3
173,5403,27
174,5455,89
175,5461,145
176,5495,3
177,5496,3
178,5499,27
179,5582,3
180,5628,27
181,5661,3
182,5676,17
183,5730,3
184,5757,27
185,5813,112
186,5823,27
187,5836,27
188,5874,27
189,5888,10
190,5905,27
191,5915,27
192,5917,27
193,6133,27
194,6165,3
195,6202,3
196,6233,89
197,6235,27
198,6245,3
199,6262,27
200,6264,27
201,6265,27
202,6367,3
203,6386,27
204,6514,27
205,6525,3
206,6539,27
207,6540,27
208,6543,27
209,6548,3
210,6555,25
211,6561,246
212,6565,3
213,6566,3
214,6620,148
6995,208241,179
216,6643,248
217,6651,234
218,6683,27
219,6759,3
220,6772,17
221,6794,27
222,6802,17
224,6828,27
225,6834,3
226,6837,3
227,6859,27
228,6879,27
229,6915,27
230,6917,27
231,6918,27
232,6919,27
233,6920,27
234,6921,27
235,6925,229
236,7013,27
237,7024,145
238,7052,3
239,7114,74
240,7115,3
241,7116,3
242,7128,11
243,7149,17
244,7177,3
245,7187,167
246,7188,43
247,7189,27
248,7190,256
249,7215,257
250,7217,3
251,7232,11
252,7396,3
253,7402,27
254,7411,27
255,7414,4
256,7535,3
257,7585,112
258,7679,3
259,7707,4
260,7725,3
261,7826,25
262,7879,27
263,7921,3
264,8102,3
265,8184,27
266,8220,44
267,8225,27
268,8232,27
269,8233,148
270,8267,133
271,8336,27
272,8364,6
273,8494,3
274,8506,3
275,8508,112
276,8509,3
277,8512,3
278,8517,145
279,8519,43
280,8552,112
281,8568,245
282,8637,112
283,8642,27
284,8643,277
285,8661,27
286,8662,112
287,8744,27
288,8750,112
289,8759,112
290,8758,79
291,8762,27
292,8767,179
293,8781,145
294,8845,3
295,8959,3
296,8985,3
297,9005,17
298,9016,27
299,9043,112
300,9058,27
301,9062,133
302,9077,112
303,9078,3
304,9089,27
305,9195,17
306,9215,112
307,9226,15
2824,80842,3
309,9404,148
310,9451,27
311,9452,112
312,9470,4
313,9471,112
314,9473,27
316,9515,43
317,9516,3
318,9525,11
321,9530,29
322,9533,112
323,9535,112
324,9470,196
325,9543,112
326,9600,3
327,9609,112
328,9612,112
329,9616,27
330,9640,3
3217,57077,3
332,9668,112
333,9673,112
334,9688,112
335,9753,112
336,9768,43
337,9777,112
338,9786,112
339,9850,112
340,9856,133
341,10002,27
6997,208334,27
343,10020,10
344,10022,27
345,10179,27
346,10248,148
347,10375,27
348,10377,27
349,10397,27
5566,161570,3
352,10424,27
353,10435,25
354,10463,148
355,10519,27
356,10546,298
357,10547,298
358,10560,27
359,10570,148
360,10595,3
361,10598,148
362,10679,3
363,10687,112
364,10696,112
365,10701,112
366,10743,112
367,10810,27
368,10838,27
369,10864,148
370,10935,17
371,10940,148
372,10948,27
373,10950,3
374,10955,112
375,11004,27
376,11006,3
377,11016,27
378,11042,201
379,11053,3
380,11071,112
381,11088,10
382,11114,10
383,11121,306
384,11129,128
385,11136,128
386,11145,73
387,11155,27
388,11157,10
389,11156,10
390,11160,112
391,11164,112
392,11167,194
393,11175,3
394,11196,3
395,11250,309
396,11259,27
397,11284,27
398,11287,27
399,11293,27
400,11297,27
401,11319,173
5565,161569,112
403,11397,27
404,11401,3
405,11412,148
406,11413,10
407,11428,112
408,11429,112
409,11460,43
410,11464,112
411,11490,201
412,11503,112
413,11517,3
414,11537,1
415,11579,4
416,11583,17
417,11644,3
418,11658,27
419,11671,112
3847,111636,27
3846,111634,3
422,11717,27
423,11721,112
424,11722,112
425,11728,112
426,11753,148
427,11754,315
430,11760,3
429,11759,269
431,11886,133
432,11927,148
433,11953,27
434,11968,112
435,12017,3
436,12018,27
437,12026,27
438,12095,27
439,12097,27
440,12196,27
441,12200,148
442,12274,27
443,12275,27
444,12280,27
445,12283,3
446,12284,27
447,12291,10
448,12294,4
449,12303,3
450,12309,160
451,12311,3
452,12347,3
453,12349,29
454,12362,10
455,12363,10
456,12364,41
458,12400,216
459,12409,27
460,12424,11
461,12534,3
462,12629,3
463,12630,27
3240,92789,392
465,12647,10
466,12648,10
467,12654,180
468,12655,3
469,12660,27
470,12663,27
471,12664,27
472,12665,27
3238,92686,3
