nachnameId,nachname,nachname_quelle,nachname_bemerkungen
1,Dorner,"Dorner, Turner, Thorner, Dhorner, Dorrner, Thurner, Thoner",
2,Hitzinger,"Hizinger, Häzinger, Hüzinger, Hezünger, Huzinger, Hirzinger, Hüzner",
3,Dilli,"Dilli, Dülli",
4,Sack,"Sakh, Sag",
5,Falkeisen,"Falkheisen, Falckheisen, Flackhseisen",
6,Serz,"Serz, Seez, Serzt",
7,Frank,"Frankh, Franckh, Fankh, Franck, Frankhl, Frannckh",
8,Moretti,"Moreti, Mareti, Mormeti, Miretti, Moratti",event. ident mit Amorati
9,Zimmermann,"Zimerman, Cimerman",
10,Allius,"Allius, Alles",
11,Stephani,"Stephani, Steffani, Steffäni, Steffanini, Steffan",
12,Pflieger,"Pflieger, Pfliegerl, Pflüeger, Pfleiger, Pfüeger, Pflüeg",
13,Gebrüder,"Gebrüeder, Gebrieder",
15,Schneider,"Schneider, Schnitter, Schniter, Schnaider",
16,Paur,"Paur, Bauer",
17,Pachner,"Pachner, Pacher",
18,Stallmayr,"Stallmayr, Stadlmayr, Staillmayr, Stailmayr, Stahlmayr",
19,Wibmer,"Wibmer, Wimer, Wübmer",
20,Jennerwein,Jenerwein,
21,Stauffenegger,"Stauffenegger, Staufenegger",
22,Gersberger,"Gersberger, Gerstberger",
23,Ziegler,"Ziegler, Zihler, Ziehler, Zieger, Züegler, Zöegler, Ziechler",
207,de Gregori,de Gregorio,
25,Wagner,"Wagner, Wägner, Magner, Wag, Wanger, Wakher, Waggner, Wager, Wanger, Wagger, Mogner, Wannger",
26,Eder,"Eder, Edter, Etter",
27,Moser,"Moßer, Mosser, Messer, Monser, Mösner, Mosner, v. Mosner, Mößler",
28,Strobl,"Strobl, Ströbl",
29,von Lano,v. Lano,
30,Ainkäs,"Ainkääs, Ainkhäs",
31,Pühringer,"Pühringer, Püringer, Peringer, Piringer, Pirniger, Pirhinger, Poringer, Pürchinger, Peyringer",
32,Racher,"Racher, Rakher",
6708,Privre,Privre,Lesung unsicher
35,Hagenauer,"Hagenauer, Hagauer",
36,Hauser,"Haußer, Hausser, Haußner, Haßer, Heysser, Hauß",ident mit Hauß
37,Lechner,"Lechner, Lehner, Löchner, Lecher, Lener",
38,Puemberger,"Puemberger, Puebmper, Puebmperger, Buebnberger, Bomberger, Pumberg",
39,Scheibenbogen,"Scheibenpogen, Scheimpogen, Scheimbogen, Scheübenpogen, Scheibnpogen, Scheibmpogen, Scheimpong, Scheinpong",
40,Schlecht,"Schlecht, von Schlecht",
41,Kumerer,"Kumerer, Kumer, Kummerer",
42,Peumbl,"Peumbl, Peimbl, Beumel, Pimpl, Peum, Pimple",
43,Wohler,"Wohler, Wahler","Woller, Waller ?"
44,Schmidhammer,"Schmidhamer, Schmithamber",
45,Feroni,"Ferone, Feronti, Veroni",
47,Lang,Lang,
48,Sunzenauer,"Sunzenauer, Sonzenauer, Sunsenauer",
49,Jezinger,"Jezinger, Jetzinger",
50,Oberndorfer,Oberndorffer,
51,Krueglueger,Krueglueger,
52,Payr,"Payr, Peyr, Payer, Bayr, Bayer, Poyr, Peyer, Payrl, Paur, Pair",
53,Aufschläger,,"Unsicher, ob es sich hierbei um den Nachnamen oder eine Amtsbezeichnung handelt. "
55,Berger,"Perger, Berger, Bergern",
56,Pichler,"Pichler, Puechler, Pühler, Buechler, Püchler, Püechler, Pichl",
57,Viztom,"Vizthom, Füzthom, Füzthomb, Fizthomb, Vitzthom, Wizthom, Wizthumb, Wizthomb, Fizthumb, Vüzthom, Vizthumb",
58,Müllnitsch,"Müllnitsch, Millnitsch, Mullnisch, Müllnisch, Wullnitsch, Willnitsch, Millaith, Müllnüz, Wüllniz",
60,Fels,"Fels, Felz, Vols, Felß, Felts, Folz",
61,Naller,"Naller, Nallner, Noller",
63,Dürmayr,Dürmayr,
64,Riehl,"Riehl, Rüehl, Riechle",
65,Heilbrunner,"Hailprunner, Hailpruner, Hailbruner",Siehe auch Heilbronner. Für alle Ulmer ist Heibronner zu wählen!
67,Schreiber,Schreiber,
68,Kraft,"Krafft, Crafft, Crapf, Krapf, Graf",
69,Huber,"Hueber, Huber, Hiber, Huebmer, Hunbert, Hüeber, Huebner, Hieber, Huebert",
70,Straub,"Straub, Strauben, Straube",
71,Niller,"Niller, Nillo, Miller",
72,Oppenheimer,"Oppenhaimer, Obbenhaimer, Opphaimer, Openhaimer, Obpenhaimer",
74,Peetz,"Peez, Perz, Pez",
75,Dallensteiner,Dolnstainer,
76,Fuchs,"Fux, Fuchs, Füx",
77,Beham,"Behamb, Peham, Peeham, Pöham, Böhaim, Böhamb, Beehamb, Pechamb, Bohamb, Pemb, Perhamb","Evtl. mit ""Pemb"" zusammenführen und langfristig auf ""Böhm"" normalisieren?"
78,Berquin,Berquin,
79,Ritter,"Ritter, Ridter, Rietter",
80,Salliet,"Saliert, Salirt, Saliet, Sallirt, Salliert, Soliet","Wahrscheinlich richtig: Saillet. Savoyarden in Wien. Siehe Raynaud, Einwanderungen, 235f. Bei Mittenzwei, Zwischen Gestern und Morgen, ""Salliet""."
81,Messel,Monsieur Messel,
82,Reinhard,"Reinhard, Reichhard",
83,Mayrhofer,"Mayrschoffer, Mayrshofer, Meyrhofer, Mayrhoffer, Morschaffer, Morschoffer, Marschhofer, Marschofer, Marschoffer",
85,Steyrer,"Steyrer, Steurer, Steyerer, v. Steyrer, v. Steyer
	",
86,Pürkl,"Pürckl, Pirkhl, Pürck, Bürgl, Piekhl, Prükhl, Pirckhl, Piergl",
87,Toscano,"Toscano, Toscanno, Tahscanno, Tohscanno, Doscano",
88,Föhr,Föhr,
89,Küffner,"Kieffner, Küeffner, Küstner, Küffer, Khüeffer, Küeffer",
