personenId,nachname,vorname,firma,personenAnzahl,personenBezeichnung,herkunft,region,jude,frau
17268,1691,19,,,,24,2,,
2,12,11,,,,2,4,,
3,11,10,,,,,,,
4,,,31,,,,,,
5,10,9,,,,11,122,,
6,9,8,,,,,,,
7,3190,,,,,,,,
8,7,6,,,,,,,
9,6,5,,,,2,4,,
10,5,4,,,,,,,
11,,,10,,,27,1,,
12,15,13,,,,,,,
13,,,8,,,11,122,,
14,18,15,,,,,,,
15,,,,1,10,,,,
16,,,,,5,,,,
17,,,,1,6,,,,
18,27,19,,,,3,6,,
19,28,20,,,,,,,
20,29,21,,,,,,,
21,30,16,,,,,,,
22,31,22,,,,,,,
23,32,23,,,,,,,
24,28,24,,,,21,34,,
25,5999,25,,,,,,,
39638,14438,13,,,,,,,
27,35,27,,,,,,,
28,40,28,,,,,,,
30,,,,1,8,,,,
31,41,13,,,,,,,
32,43,29,,,,15,3,,
33,44,30,,,,11,122,,
35,45,31,,,,27,1,,
2214,1407,,,,10,,,,
37,47,24,,,,,,,
276,205,13,,,,,,,
39,50,2,,,,,,,
40,51,,,,10,,,,
41,,,,,2508,29,6,,
42,55,36,,,,44,6,,
44,58,38,,,,27,1,,
45,1476,39,,,,27,1,,
46,60,3,,,,27,1,,
47,61,40,,,,,,,
20623,8405,6,,,,,,,
49,63,22,,,,,,,
50,64,42,,,,,,,
51,13800,43,,,,15,3,,
15883,5206,14,,,,,,,
53,67,1,,,,,,,
54,,,22,,,,,,
55,68,14,,,,,,,
56,69,1,,,,,,,
57,70,45,,,,27,1,,
58,71,46,,,,,,,
59,72,47,,,,,,1,
2419,1031,174,,,,10,38,,
61,11,48,,,,,,,
62,74,29,,,,11,122,,
63,75,49,,,,11,122,,
64,76,50,,,,27,1,,
65,77,5,,,,27,1,,
66,78,21,,,,,,,
67,79,33,,,,11,122,,
68,80,51,,,,,,,
69,81,,,,12,,,,
70,82,52,,,,11,122,,
71,83,53,,,,11,122,,
72,402,2,,,,,,,
73,85,35,,,,89,1,,
74,86,54,,,,11,122,,
75,87,32,,,,11,122,,
76,88,55,,,,,,,
3774,2148,,,,10,,,,
78,89,56,,,,11,122,,
79,90,38,,,,3,6,,
80,91,46,,,,3,6,,
81,92,57,,,,3,6,,
82,93,53,,,,,,,
84,94,58,,,,,,,
11458,402,19,,,,13,38,,
86,2505,60,,,,,,,
87,97,57,,,,11,122,,
88,39,25,,,,3,6,,
89,,,,1,64,,,,1
16048,739,13,,,,,,,
32002,7280,13,,,2465,27,1,,
92,102,63,,,,,,,
93,103,8,,,,2,4,,
94,104,24,,,,,,,
95,105,62,,,,,,,
96,106,64,,,,,,1,
97,107,15,,,,62,148,,
98,,,25,,,27,1,,
99,108,8,,,,,,,
100,,,,,1642,73,6,,
101,,,,,18,74,6,,
102,,,,,19,18,6,,
273,,,,1,30,,,,
104,116,19,,,,3,6,,
275,126,25,,,,,,,
106,119,69,,,,,,,
107,120,70,,,,,,,
108,121,25,,,,,,,
109,122,41,,,,2,4,,
110,2881,21,,,60,4,6,,
111,125,45,,,,,,,
113,,,,,20,,,,
114,128,31,,,,,,,
115,129,30,,,,,,,
116,69,18,,,,,,,
277,206,101,,,,78,2,,
10255,1377,,,,10,10,38,,
119,132,1,,,,27,1,,
120,133,74,,,,,,,
121,134,73,,,,69,2,,
122,16,13,,,,1274,2,,
124,139,14,,,,11,122,,
28520,480,60,,,,13,38,,
127,140,49,,,,3,6,,
128,57,13,,,,2,4,,
269,202,100,,,,3,6,,
168,4,3,,,51,2,4,,
268,174,99,,,,27,1,,
133,143,24,,,,,,,
172,380,13,,,,11,122,,
135,,,7,,,,,,
136,,,27,,,,,,
171,1,1,,,,5,6,,
138,144,37,,,,,,,
139,5096,21,,,,27,1,,
140,146,75,,,,,,1,
141,147,363,,,,27,1,,
142,148,14,,,,27,1,,
145,149,53,,,,,,,
146,150,3,,,,27,1,,
147,151,21,,,,27,1,,
148,10,77,,,,,,,
170,2,5,,,60,4,6,,
169,3,2,,,,225,6,,
9948,3142,558,,,1052,128,5,,
153,,,,1,23,,,,
154,153,10,,,,,,,
155,154,45,,,60,4,6,,
156,158,80,,,,,,,
157,159,49,,,,27,1,,
158,160,17,,,,,,,
159,161,5,,,,,,,
160,162,32,,,,,,,
161,163,81,,,,,,,
162,164,82,,,,3,6,,
163,3090,83,,,,,,,
164,166,8,,,,,,,
165,167,77,,,,3,6,,
166,49,34,,,,68,6,,
167,168,62,,,,55,6,,
173,16,5,,,,,,,
174,17,14,,,,27,1,,
175,19,16,,,3508,,,,
176,20,13,,,,4,6,,
177,21,17,,,,10,38,,
22267,5354,119,,,,,,,
179,23,13,,,,11,122,,
6710,1551,61,,,,,,,
181,25,5,,,,9,5,,
182,26,16,,,,,,,
183,36,5,,,,36,40,,
184,37,5,,,,28,6,,
185,38,18,,,,66,6,,
186,39,5,,,,3,6,,
187,52,35,,,,,,,
16389,134,31,,,,,,,
189,56,8,,,,,,,
190,57,5,,,,11,122,,
191,98,13,,,,,,,
192,37,13,,,,,,,
193,42,13,,,,11,122,,
194,48,33,,,,,,,
195,38,37,,,,,,,
4647,,,,,509,193,6,,
197,37,16,,,51,2,4,,
198,109,65,,,,8,5,,
200,111,66,,,,13,38,,
201,112,13,,,,10,38,,
202,113,16,,,,66,6,,
203,114,8,,,,66,6,,
204,98,45,,,,10,38,,
205,115,45,,,,,,,
13309,5961,,,,12,,,,
207,117,68,,,,10,38,,
208,118,8,,,51,2,4,,
209,124,71,,,,10,38,,
210,112,62,,,,10,38,,
211,126,16,,,,,,,
212,127,72,,,,71,38,,1
213,130,5,,,,32,2,,
214,131,73,,,,30,34,,
215,135,8,,,,34,2,,
216,136,5,,,,35,6,,
217,137,13,,,,,,,
218,23,8,,,,,,,
219,155,16,,,,33,6,,
220,156,32,,,271,21,34,,
221,157,79,,,51,2,4,,
222,1,2,,,,5,6,,
223,75,79,,,,11,122,,
224,169,4,,,,11,122,,
225,170,84,,,,2,4,,
226,,,4,,,,,,
227,171,30,,,,,,,
228,172,15,,,,,,,
229,124,5,,,,,,,
230,,,44,,,,,,
7908,3887,21,,,,,,,
232,,,,,381,27,1,,
233,176,80,,,,,,1,
234,177,2,,,,27,1,,
235,71,87,,,,,,,
236,37,88,,,,27,1,,
237,178,24,,,,,,,
238,179,89,,,,,,,
239,76,13,,,,27,1,,
22783,12904,16,,,,,,,
16370,,,,,1844,,,,
24006,1232,17,,,,,,,
243,183,25,,,,,,,
6408,38,16,,,,66,6,,
245,185,16,,,,,,,
246,186,268,,,,,,,
247,187,94,,,,11,122,,
248,85,25,,,,,,,
249,188,61,,,,,,,
250,189,59,,,,,,,
251,190,46,,,,,,,
252,191,8,,,,,,,
253,192,95,,,,11,122,,
254,,,20,,,,,,
255,193,17,,,,,,,
256,194,96,,,,,,,1
271,203,13,,,,175,6,,
258,196,97,,,593,4,6,,
259,197,35,,,,13,38,,
260,198,65,,,,8,5,,
261,199,38,,,,32,2,,
262,,,,1,27,,,,
263,200,61,,,,3,6,,
264,,,,,28,,,,
265,201,16,,,,3,6,,
278,207,12,,,,,,,
279,208,22,,,,,,,
280,209,13,,,,3,6,,
281,3905,,,,63,,,,1
282,210,52,,,,35,6,,
283,211,45,,,,11,122,,
284,,,,,33,,,,
285,212,65,,,,39,5,,
286,213,22,,,,8,5,,
287,,,,,34,119,5,,
288,214,45,,,,175,6,,
289,,,28,,,,,,
23092,5067,24,,,,239,2,,
291,216,19,,,,4,6,,
560,111,21,,,,13,38,,
293,217,8,,,,11,122,,
294,218,60,,,,,,,
296,220,14,,,,,,,
297,221,129,,,,27,1,,
9804,4715,236,,,1032,,,,
299,223,53,,,,27,1,,
300,224,41,,,,,,,
301,225,5,,,,27,1,,
302,226,15,,,,,,,
303,227,24,,,,,,,
304,228,,,,12,,,,
305,229,13,,,,,,,
306,11550,18,,,,27,1,,
307,231,17,,,,,,,
308,88,17,,,,27,1,,
309,,,26,,,27,1,,
310,233,25,,,,,,,
32672,670,8,,,,,,,
313,236,29,,,,,,,
314,237,104,,,,,,,
315,238,105,,,,2,4,,
316,239,8,,,,,,,
317,5998,17,,,,,,,
318,241,5,,,,,,,
319,5000,13,,,,2,4,,
320,243,79,,,,,,,
321,244,5,,,,15,3,,
322,,,,1,1429,,,,
24051,4675,14,,,,3,6,,
324,246,21,,,,10,38,,
325,247,67,,,,81,6,,
326,248,73,,,60,4,6,,
328,249,2,,,,5,6,,
329,250,5,,,,55,6,,
330,251,17,,,,45,6,,
331,252,21,,,,82,2,,
332,253,16,,,,45,6,,
333,52,13,,,,41,2,,
334,254,21,,,,32,2,,
561,418,13,,,,,,,
336,382,25,,,,30,34,,
337,256,20,,,,8,5,,
338,257,21,,,,,,,
339,30,61,,,,42,34,,
5729,136,16,,,,103,6,,
341,213,17,,,,8,5,,
342,259,65,,,60,4,6,,
343,260,19,,,,225,6,,
344,261,45,,,,44,6,,
345,262,67,,,,8,5,,
346,,,,1,38,,,,
347,263,25,,,,15,3,,
348,264,8,,,,,,,
349,265,106,,,,,,,
350,266,107,,,,15,3,,
351,267,53,,,,15,3,,
352,268,108,,,,15,3,,
353,269,49,,,,15,3,,
354,270,26,,,,15,3,,
355,270,109,,,,15,3,,
356,1359,110,,,,,,,
16114,1141,63,,,1810,,,,
358,189,73,,,,72,42,,
