personenId,bemerkung
17428,"Philipp Adam ""III."" Benz: http://merkelstiftung.de/Familie/Familiendaten/getperson.php?personID=I15745&tree=PWMerkel"
896,Gesandter von Ulm am Kaiserhof in Wien
16753,Sigismund von Kollonitz.
2416,Name mehrheitlich Rugenfuß; alternativ: Rugenlos.
2429,Familienname unsicher: Seifert?
2440,Siehe Johann Friedrich Werti: ident?
34903,Seihe: https://books.google.at/books?id=nivgmctAVyAC&pg=PA612&lpg=PA612&dq=Reichshofrat+von+Dresanus&source=bl&ots=0OyzBvN9Av&sig=eoKQz7t55_8BHp1BP_YnOD8iArc&hl=de&sa=X&ved=2ahUKEwit_7Sly6HdAhWPKlAKHfbqC_IQ6AEwAXoECAkQAQ#v=onepage&q=Reichshofrat%20von%20Dresanus&f=false S. 612 (Reichshofrat)
160,Variante: Carolo Gerossa
2575,Sigismund Graf Kollonitz
2627,"Erzbischof von Esztergom (Gran) und damit Kardinal-Primas von Ungarn, Repräsentant von Karl VI. am Reichstag in Regensburg."
2632,Könnte auch eine Firma sein.
2633,Evtl. handelt es sich hier um eine Firma?
9673,"1854 (Bd. 6) ist in der Landshuter Zeitung (S. 712) vermerkt, dass die Mühle eines ""Joseph Lippl"" in Preßfurt völlig ausgebrannt ist.
http://books.google.at/books?id=hR1EAAAAcAAJ&pg=PA712&dq=pre%C3%9Ffurt&hl=de&sa=X&ei=-crfUvOCL6jgygPKu4HQCQ&ved=0CEYQ6AEwBA#v=onepage&q=pre%C3%9Ffurt&f=false
Es gibt heute auch noch den Ortsteil ""Preßfurtmühle"" in Aicha vorm Wald, diese auch im Katasterplan (19. Jahrhundert) von Bayern eingezeichnet (siehe mapire).
"
39511,Lesung des Namens unsicher.
2738,Denkbar wäre auch die Namenskombination Andre - Brentano Griante!
2753,Stork?
1494,Nachname evtl. Rath.
13215,"Johann Moritz von Manderscheid-Blankenheim:
http://de.wikipedia.org/wiki/Johann_Moritz_Gustav_von_Manderscheid-Blankenheim"
2774,Siehe Franz Klaininger
802,Ital. Vorname Luccas Giuseppe. An zahlreichen Stellen wird Lukas Joseph Setti in den Aschacher Mautprotokollen als Lukas Setti bezeichnet. Die Identität von Lukas Joseph und Lukas ergibt sich aus der im Merkantilprotokoll genannten Ehefrau Anna Katharina Setti.
2817,Variante Vorname: Julio
309,"Die Firma war als Niederleger in Wien ansässig, das Stammhaus war in Augsburg. Vgl. Rauscher/Serles, Niederleger und etwa Buch 117 (1728), Blatt 606 und öfter.
Niederleger: Kaiserlicher (...) Staats= und Stands Calender (...) [1723] (Wien), 243."
3030,"Vorname ital. Tomasso, Domasso."
989,Variante Vorname: Andrea
3091,Siehe Christoph Reymann. Evtl. ident
37653,In der Quelle nicht als jüdisch bezeichnet.
3115,Lesung unsicher
3167,"In Hs. 130 (1734), pag. 553 explizit als Jude bezeichnet."
3214,siehe Joseph Gavi
3260,Bürger von Aschach
15067,"Unklar, ob Schlosser als Funktion oder Nachname "
3375,Ital. Antonio
3247,"Ital. Gio Battista/Giovanni Battista Bolssa/Bolza. Niederleger.
Kaiserlicher (...) Staats= und Stands Calender (...) [1723] (Wien), 243; Merkantilprotokoll, fol. 44."
17157,"Jetztlebende Kauffmannschafft, S. 234."
3391,Ital. Gio Antonio
3400,Variante Vorname: Gregory
3404,Franz. Jean Ja[c]ques
3407,Quelle: Mözer Lazarus.
22935,"Vorname Quelle fälschlich ""Sinzhaimb"". Richtig wahrscheinlich Simon (Wolf)."
12979,Kein Vorname angegeben.
3578,francisscaner clöster Wienn und Closter Neuburg
1613,Alternativ: Ruprecht A.
3626,Name unsicher. Quelle: Hotschin Issmal.
3651,Familienname evtl. Berufsbezeichnung
