person_verknuepftId,personenId1,personenId2
1,12021,7469
2,7657,9785
3,6066,9345
4,6066,9395
5,204,7241
3814,19561,20785
7,7761,8374
8,820,3534
9,820,2563
17026,10204,
11,166,1933
12,12358,7281
15717,10744,9625
14,12471,1001
771,2811,1697
16,12586,12000
17,12586,12584
18,12588,5785
19,5027,62
20,12598,12198
16824,32483,32718
22,12602,7335
3113,15612,7183
3111,6634,13687
16923,7738,4099
27,12620,349
28,12646,1137
29,12670,6500
6544,7416,6925
6543,7416,1239
6545,6925,1239
33,816,2526
984,12649,7492
35,2798,4223
36,9899,10997
37,10388,12388
38,10597,4090
39,10597,7799
40,10597,2651
41,12693,11466
42,12704,4943
43,12707,4511
8990,5958,12311
45,12710,7151
46,2847,1137
47,12761,8761
48,12764,3982
49,12765,4314
50,12765,5075
4492,22346,1586
12069,32749,3938
53,12807,11637
4157,13351,4331
55,12845,1883
56,12848,5458
16532,39598,34429
58,12876,5689
59,12884,10752
60,7541,475
63,12891,7377
64,79,12893
65,11932,2218
66,11932,1573
67,12894,738
68,12895,1285
69,12896,7567
70,8640,3204
71,8018,11946
72,8018,10927
73,7814,8678
74,12899,58
75,12899,6073
76,12903,2039
12029,32635,8890
78,12904,3233
79,12914,7470
80,12921,432
81,12921,12230
82,12925,11192
83,12932,6620
84,12934,9988
85,10032,821
1146,15960,1390
87,1838,6095
88,1838,9795
89,1838,11907
90,12949,8069
16829,11690,13892
92,12951,4641
93,12951,7653
94,2512,7000
95,6566,7708
96,2527,8855
97,5709,6224
98,7656,9793
99,4637,6078
100,4601,6077
101,4601,8219
102,12960,8677
105,12971,806
667,14640,9899
107,12986,11112
108,12989,7072
109,12995,6195
110,12995,6551
111,12995,11359
112,12995,10053
113,13002,5188
114,7686,9458
16720,11294,4566
116,946,7757
117,836,4656
118,1800,6567
119,13010,9394
6578,23104,15804
121,13011,4713
122,13012,8874
123,13013,9289
124,1868,5007
125,547,11476
6648,23178,16761
16751,39746,31835
3944,2223,8250
129,13026,7507
130,4735,12316
131,13030,8626
132,531,3463
2109,16914,1611
134,3942,6777
135,3942,6330
1969,4563,5519
137,245,7438
138,310,1415
139,13043,6128
4515,22369,17148
3106,13047,7340
142,13047,9787
143,6234,1505
144,3572,6068
145,13064,6129
146,3572,13067
147,13073,10152
148,13075,6441
149,13075,10097
150,13077,9977
151,13077,7777
152,749,2216
153,749,3622
154,13079,10690
155,25,12629
156,13094,4939
16936,31853,15465
158,5813,13095
1113,15899,4681
160,13096,7877
161,5460,12847
162,4600,7655
163,4600,9786
4792,22709,17229
4791,17229,18626
4790,22708,6133
167,6967,1662
168,13110,1662
2307,17190,8872
170,13111,12498
5363,17899,1928
172,13114,11448
2148,2006,11893
174,13143,8437
175,13144,12374
176,13144,1610
177,13145,3181
4517,22381,9864
4516,22371,6813
180,13146,2432
181,13148,7191
182,2422,4262
183,1571,3344
184,1571,2981
185,104,6363
6248,10881,124
187,4778,12554
188,11230,4200
4795,22710,15479
190,2318,10923
191,8174,11722
192,13180,3110
193,13187,9977
194,13201,3493
195,3493,13201
196,3743,1774
197,3743,165
8231,26103,24040
199,1774,165
200,165,3743
201,165,1774
202,13210,399
203,13212,8537
14882,38857,23785
14680,38689,17397
206,13218,5329
207,13218,12708
209,13223,3766
210,13227,11352
10129,29544,29301
212,3087,13230
214,13240,5108
215,13248,6476
17030,5153,11801
217,13257,4617
218,13257,4969
219,13259,7177
220,13260,455
221,13261,2171
222,13261,6741
223,13261,12199
224,13263,204
3813,21061,18731
226,13267,31
227,13269,11319
228,13270,2139
229,13270,12988
16703,21448,13274
231,174,1700
232,174,1346
233,174,6010
234,13290,8311
16161,5266,9976
236,205,3139
237,205,3815
238,13316,4759
239,13318,4784
240,4784,13318
241,13320,6540
242,13320,10506
243,359,2531
244,13321,9792
245,13325,11015
246,13325,120
247,10893,3518
248,10893,5916
249,13329,8751
250,13336,360
251,13336,4142
252,13338,5522
8307,26230,308
8306,26230,17721
255,13343,588
256,13343,6626
257,13344,12408
258,7426,5600
259,13350,8634
260,13350,8343
261,13351,2278
262,13351,6150
263,13349,4993
4502,19439,17568
265,13349,9330
266,13349,7917
267,13353,4986
268,8123,13212
15724,39284,8790
9484,28459,6389
9939,29280,26876
272,708,4371
601,14489,5019
600,14488,7096
276,3906,13388
277,4404,13388
278,6632,13388
281,1466,1233
282,13450,2856
283,13496,6945
284,13496,8727
285,13528,10613
286,13534,406
287,13599,97
288,13607,208
289,13607,7543
290,13607,5468
291,13619,1667
292,13622,3274
293,13622,13007
294,13635,5194
295,13635,7483
296,13635,8639
297,13638,3029
13572,36464,18446
299,13714,1353
16625,34266,28041
301,13590,13649
302,13946,12679
303,13950,12678
304,13953,11465
305,13954,2114
306,13959,572
6693,10025,5377
308,13965,3302
309,13972,6881
310,13981,9289
311,13981,13013
312,13985,3129
313,13985,6998
314,14010,8110
315,14012,8110
316,14012,14010
317,14012,8011
318,14013,10102
319,14017,3410
320,14021,8993
321,14031,3211
322,14031,7182
323,14044,9320
324,14044,7212
325,14044,11480
326,14044,1523
681,7191,7035
328,8906,1935
329,13873,13660
330,14055,4305
331,1073,6863
332,3053,9382
13330,36227,27981
334,1302,6544
335,9468,10093
336,3110,3521
337,13180,3521
338,6032,12253
339,14062,7565
340,4200,13466
341,1226,3868
342,14072,741
343,14073,2620
344,347,1094
14451,38531,35414
347,14076,4300
348,14077,5784
349,14087,11739
350,1496,4048
351,1496,5694
352,1496,6865
353,4048,5694
354,4048,6865
355,5694,6865
356,3351,11941
357,784,4982
358,14101,8951
5520,3876,3333
360,14107,10803
361,14108,11528
362,14111,12713
363,14111,13133
364,14111,12234
365,14114,13177
366,14115,11567
367,14116,10306
10283,29720,2014
369,14129,9807
370,14140,9234
371,14140,6834
372,14141,13940
373,14142,506
374,14142,8480
375,14142,11244
376,14142,8918
377,14142,4720
378,14143,14141
379,14155,13331
380,14156,7674
381,14165,13986
382,2172,679
5645,1064,15374
16825,32483,35351
385,3216,9099
386,11281,9099
387,9188,9684
388,2961,10757
389,2961,13093
390,2961,3303
391,2961,4254
392,2961,11785
393,6051,5290
2304,17177,7556
395,14177,6640
396,14178,12694
397,6674,6922
398,14183,5909
399,14186,9914
6508,23037,5051
401,9286,9656
4513,7330,4554
6113,19637,18096
404,5069,212
4512,13925,1679
4511,11562,10549
4510,7094,8340
409,14209,11504
410,14216,13206
15212,38991,28387
412,163,5920
413,14219,5920
414,14221,13111
415,14221,12498
11955,31285,17356
417,14228,5625
418,1033,10168
419,3783,4973
420,5240,9726
421,14235,10915
