scans_jahrId,ordner,jahr,bandnr,phaidraId
1,DepHarr_H130,1734,(Hs.  130),o:678954
2,DepHarr_H104,1718,(Hs.  104),o:666444
3,DepHarr_H106,1719,(Hs.  106),o:667715
4,DepHarr_H108,1721,(Hs.  108),o:668978
5,DepHarr_H117,1728,(Hs.  117),o:673750
6,DepHarr_H120,1729,(Hs.  120),o:674917
7,DepHarr_H121,1730,(Hs.  121),o:675932
8,DepHarr_H124,1731,(Hs.  124),o:676916
9,DepHarr_H115,1725,(Hs.  115),o:671335
10,DepHarr_H116,1727,(Hs.  116),o:672538
11,DepHarr_H113,1724,(Hs.  113),o:670161
12,DepHarr_H132,1735,(Hs.  132),o:679901
13,DepHarr_H128,1733,(Hs.  128),o:677828
28,DepHarr_H102,1717,(Hs. 102),o:1215274
15,DepHarr_H136,1737,(Hs.  136),o:682002
16,DepHarr_H138,1738,(Hs.  138),o:1204918
17,DepHarr_H139,1739,(Hs.  139),o:1203750
18,DepHarr_H142,1740,(Hs.  142),o:1199924
19,DepHarr_H100,1716,(Hs.  100),o:1198648
20,DepHarr_H103,1717,(Hs.  103),o:1212829
21,DepHarr_H133,1736,(Hs.  133),o:680896
23,DepHarr_H090,1706,(Hs.  090),o:1193563
24,DepHarr_H094,1709,(Hs.  094),o:661800
25,DepHarr_H096,1711,(Hs.  096),o:1194550
26,DepHarr_H097,1713,(Hs.  097),o:1197731
27,DepHarr_H095,1710,(Hs.  095),o:1192427
