vornameId,vorname,vorname_bemerkungen
1,Franz,
2,Ferdinand,
3,Lorenz,
4,Samuel,
5,Matthias,Oft synonym zu Matthäus.
6,Zacharias,
8,Christoph,Oft synonym zu Christian.
9,Johann Heinrich,
10,Bernhard,Ital. auch Bernardo.
11,Wolfgang,Synonym zu Wolf.
12,Peter,
13,Johann,
14,Johann Georg,
15,Philipp,Alternativ: Philibert
16,Georg,
17,Jakob,
18,Thomas,
19,Simon,
20,Bartholomäus,
21,Joseph,
22,Sebastian,
23,Franz Sebastian,
24,Anton,Auch: Antonio
25,Michael,
26,Johann Matthias,
27,Georg Christoph,
28,Johann Benedikt,
29,Johann Konrad,
30,Johann Friedrich,
31,Johann Baptist,"auch Giovanni Battista, Gio. Batta."
32,Karl,"Carl, selten: Carolus."
33,Elias,
34,Leopold,
35,Balthasar,Alternative Schreibung in der Quelle: Walthauser
36,Sigmund Ehrenreich,
37,Tobias,
38,Veit,Alternativ Veitl.
39,Claudius,
40,Joseph Christoph,
41,Rudolf,
42,Niklas,"Alternativ: Nikolaus, Nicolaus, Nicolas."
43,Friedrich Karl,
44,Hieronymus,
45,Paul,
46,Johann Michael,
47,Nathan,
48,Johann Bernhard,
49,Johann Christoph,
50,Joseph Karl,
51,Johann Niklas,Alternativ: Johann Nicola.
52,Friedrich,
53,Johann Jakob,
54,Johann Ludwig,
55,Gabriel,
56,Johann Anton,
57,Johann Adam,
58,Andreas,Synonym zu Andre.
59,Johann Kaspar,
60,Melchior,
61,Ignaz,
62,Heinrich,auch: Heinricus
63,Johann Paul,
64,Leb,"Leb, Löb, Lebel"
65,Christian,Oft synonym zu Christoph.
66,Ambrosius,"Ambrosius, Anophorus, Onuphrius, Anophrus, Anofrus"
67,Adam,
68,Gottlieb,Häufig synonym zu Gottlob verwendet.
69,Georg Christian,
70,Johann Ulrich,
71,Lukas,
72,Maria,Alternativ: Morina.
73,Andre,Synonym zu Andreas.
74,Ignaz Christoph,
75,Hirschl,
77,Johann Andre,
78,Johann Sigmund,
79,Daniel,
80,Isaak,
81,Franz Karl,
82,Philipp Joseph,
83,Karl Anton,
84,Peter Konrad,
86,Wenzel,"Sehr selten die Langform Wenceslaus, Wenceßlaus."
87,Alexander,
88,Franz Joseph,
89,Dominicus,
90,Stephan Joseph,
91,Johann Ferdinand,
92,Johannes,
315,Karl VI.,
94,Christian Gottlieb,
95,Johann Emanuel,
96,Elisabeth,
97,Reichard,
99,Franz Gottlieb,
100,Maximilian,
101,Martin,
103,Lambert,
104,Gottfried,
105,Georg Wilhelm,
106,Georg Matthias,
107,Georg Bartholomäus,
108,Augustin,
109,Johann Eitel,
110,Valentin,
111,Oswald,
112,Maria Rosina,
113,Erhard,Ernhard
114,Martin Wilhelm,
115,Johann Leonhard,
116,Johann Cornelius,
117,Adam Christoph,
118,Franz Anton,
119,Kaspar,
120,Georg Jakob,
121,Urban,
122,Andrea,
123,Wolf,Synonym zu Wolfgang.
124,Leonhard,
935,Andre Philipp,
126,Johann David,
127,Isidorius,
128,Wilhelm,
129,Stephan,Alternativ auch: Estienne.
130,Karl Joseph,
131,Anna Maria,
132,Bonaventura,Bavent
133,Dionysius,
134,Anna,
1097,Heinrich Jakob,
136,Johann Thomas,
137,Emanuel,
138,Peter Georg,
139,Ruprecht,Alternativ Rupert.
140,Benedikt,
141,Johann Maria,Alternativ: Johann Marina/Morina.
142,Herculiano,Alternativ: Ercolion
143,Aurelio,
144,Johann Peter,Variation: Johann Pietro
145,Christoph Gottlieb,
146,Ulrich,
147,Hermann,
148,Brigitta,
149,Georg Friedrich,
150,Lorenz Matthias,
151,Johann Wolfgang,
152,Sebastian Jakob,
153,Joseph Alois,
154,Barbara,
155,Johann Philipp,
156,Elias Christoph,
158,Michael Ehrenreich,
159,David,
160,Sebald,
161,Johann Martin,
162,Johann Albrecht,
163,Johann Joseph,
164,Jakob Christian,
165,Johann Salomon,
166,Georg Ludwig,
167,Joachim,
168,Gervais,
169,Moritz,
170,Girolano,
171,Simon Joseph,
172,Justus,
173,Konrad,
174,Gregor,
175,Christian Gottfried,
176,Fridian,Alternativ: Fredian
177,Pompeo,
178,Lukas Joseph,
179,Karl Christoph,
180,Johann Wolf,
1098,Martin Matthias,
183,Elisabeth Christine,
184,Heinrich Anton,
185,Georg Michael,
186,Pierre ,
187,Maria Agnes,
188,Maximilian Emanuel,
189,Philipp Niklas,
190,Franz Andre,
191,Adolf,
192,Markus,Synonym zu Marx.
193,Augustin Friedrich,
194,Georg Paul,
195,Ottokar,
196,Johann Christian,
197,Gerhard,
198,Gotthard,
199,Amalia,
200,Kaspar Gottlieb,
201,Johann Wilhelm,
202,Zacharias Karl,
203,Fridelin,
204,Georg Erasmus,
205,Cornelius,
718,Juda,
207,Felix,
208,Romanus,
209,Wolf Jakob,
210,Johann Stephan,
211,Agnes,
213,Georg Adam,
214,Ursula,
215,Gottfried Heinrich,
1718,Conorinho Dominico,
217,Florian,
218,Abraham,
219,Margareta,
220,Regina,
221,N.,
222,Jeremias,
223,Georg Philipp,
224,Katharina,
225,Georg Ignaz,
226,Eugen,
227,Gallus,
228,Philipp Ludwig,
229,Alois,
230,Anton Matthias,
231,Amor,
232,Franz Ignaz,
233,Maria Katharina,
234,Egidius,
235,Johann Isaak,
236,Johann Rudolf,
237,Lorenz Anton,
238,Gregor Ferdinand,
239,Franz Stephan,
240,Johann Eberhard,
241,Johann Gottlieb,
242,Franz Jakob,
243,Franz Michael,
244,Isaak Salomon,
245,Johann Franz,
246,Salomon,
247,Wolf Heinrich,
249,Joseph Anton,
250,Johann Abraham,
251,Philipp Jakob,
253,Marx,Synonym zu Markus. Im Einzelfall auch Marco.
254,F. X.,
256,Joseph Melchior,
257,Franz Erhard,
258,Johann Gerhard,
259,Magdalena,
261,Ubaldo,Alternativ: Abaldo.
262,Albert,
263,Blasius,
265,Niklas Johann,
266,Wilhelm Michael,
267,Gordian,"Quelle: Cordian, Cordianus"
268,Eduard,
269,Franz Felix,
271,Onuphrius,"Anophorus, Onuphrius"
272,Martin Anton,
273,Georg Gotthard,
274,Johann Sebastian,
275,Korbinian,
276,Ernst Franz,
277,Franz Kaspar,
278,Albrecht,
279,Niklas Christoph,
280,Peter Anton,
281,Joseph Bartholomäus,
282,Johann Otto,
283,Anton Joseph,
284,Wilhelm Bernhard,
285,Kaspar Balthasar,
286,Sigmund,
287,Maria Anna,
