warenId,ware,ware_quelle,kurzbeschreibung,literatur
1,Seidenware,"seiden waar, seuden wahr, seitenwahr","Z. B. Atlasse, Taffete, Levantine, Samete, Groß de Tours, Groß de Naples.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Seidenware</a>&quot;. "
2,Seidenzeug,seiden zeug,"Siehe ""Seidenware"". ",
3,Schokolade,"chocolata, chioccolate, schocolate",,
4,Heringe (geselcht),geselchte häring,,
5,Galanterieware,galanteriae waar,"ist ein Überbegriff über verschiedene modische Accessoires, wie Schmuck, Kleiderzierrat, Strümpfe, Hüte, etc.","<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Galanteriewaaren</a>&quot;; wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Galanteriewaren"">Galanteriewaren</a>&quot;.</p>"
6,Bier,"pier, püer",,
7,Lamm/Lämmer,lämpl,,
8,Kalb/Kälber,"keilbl, kölber, keibl, kälbl, kailbl",Kalb,
9,Süßholz,"siess holz, sießholz, droges oder süessholz",,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">S&uuml;&szlig;holz</a>&quot;. "
10,Gelbe Rübensamen,"gelbe rueben sammen, gelbm ruebmsaam","Samen der Gelben Rübe (Möhre, Karotte).","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">M&ouml;hre</a>&quot;."
11,Rupfen,rupfen,Grobe Leinwand aus Werg (= Hanf- und Flachsfasern).,"Deutsches W&ouml;rterbuch von Jacob und Wilhelm Grimm, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&amp;lemid=GR09763"">Rupfen</a>&quot;."
12,Leinwand,"leinwath, leinweith, leimbath, leinwathen, leingwandt, leingewand",Aus Flachs oder Hanf gesponnenes und gewebtes Gewebe.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Leinwand</a>&quot;."
13,Prisil,"prisill, brisill, presil, prüsill, brissil","Brasil(-holz): hochwertiges Rotholz, das zum Färben verwendet wird (rot bzw. vermischt mit Pottasche blau), sowie der daraus gewonnene Farbstoff (=Brasilin).","<p><a href=""http://books.google.at/books?id=frTiAAAAMAAJ&amp;q=prisil+farbe&amp;dq=prisil+farbe&amp;hl=de&amp;sa=X&amp;ei=zLorVPHKNcSLyASI44LYAg&amp;ved=0CDYQ6AEwATgK"">http://books.google.at/books?id=frTiAAAAMAAJ&amp;q=prisil+farbe&amp;dq=prisil+farbe&amp;hl=de&amp;sa=X&amp;ei=zLorVPHKNcSLyASI44LYAg&amp;ved=0CDYQ6AEwATgK</a></p><p>285&nbsp;</p>"
14,Schweinehäute,"schwein heut, schweu heut, sau heut",Haut des Schweins.,"<p>Meyer`s Konversationslexikon, Band 14, S. 740, &quot;Schwein&quot;. </p>"
15,Schmelztiegel,"schmölzdegl, schmölz dügl","Ton- oder Metallgefäß, das zum Schmelzen verschiedener Materialien benötigt wird.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schmelztiegel</a>&quot;. "
16,Tabak,"towakh, towak, ord[inari]. towack, towackh, teback",,
5120,Wolle (türkisch),turkhische wohl,,
17,Holz,holz,Siehe auch Scheiter. In Hs. 97 (1713) und anderen Bänden sind - statt wie sonst Holz - v.a. Scheiter genannt. Dies ist bei der Auswertung von Holztransporten mitzuberücksichtigen!,
18,Wein (Aschacher),"hisigen wein, aschauer wein",,
19,Wein,wein,,
20,Lorbeer,lorber,"Frucht des Lorberbaums, die vor allem als Gewürz genutzt wird. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Lorber</a>&quot;."
21,Früchte,fricht,,
22,Öl,"öhl, öll",,"<p>Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"" target=""_blank"">&Ouml;hl</a>&quot;. </p>"
23,Fischel,"fischl, vischl, füschl",,
24,Flintenrohre,flinten rehr,Siehe Büchsenläufe.,
25,Küchenspeise,kuchl speiss,,
26,Oliven,olivi,Früchte des Oliven- oder Ölbaumes. ,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Olive</a>&quot;."
